"OBJECTID","station_european_code","station_local_code","country_iso_code","country_name","station_name","station_start_date","station_end_date","type_of_station","station_ozone_classification","station_type_of_area","station_subcat_rural_back","street_type","station_longitude_deg","station_latitude_deg","station_altitude","station_city","lau_level1_code","lau_level2_code","lau_level2_name","EMEP_station","arcgis_longitude","arcgis_latitude"
1,"AD0942A","942","AD","Andorra","Escaldes-Engordany",1087430400000,NA,"Background",NA,"urban",NA,NA,1.539172,42.509724,1080,"ANDORRA LA VELLA",NA,NA,NA,"no",1.53930664054343,42.5097045901381
2,"AD0944A","944","AD","Andorra","Engolasters",1139529600000,NA,"Background",NA,"rural",NA,NA,1.565014,42.516945,1637,NA,NA,NA,NA,"no",1.56512451196486,42.5170898439598
3,"AD0945A","945","AD","Andorra","Envalira",1.304208e+12,NA,"Background",NA,"rural",NA,NA,1.716986,42.534882,2515,NA,NA,NA,NA,"no",1.71710205048433,42.5349121092669
4,"AL0201A","AL360A01","AL","Albania","Tirana Center",1.262736e+12,NA,"Traffic","urban","urban",NA,"Canyon street: L/H < 1.5",19.821772,41.330269,162,"TIRANA",NA,NA,NA,"no",19.8218994138027,41.3303222653714
5,"AL0202A","AL360A02","AL","Albania","Tirana IPH",1.27656e+12,NA,"Traffic","suburban","suburban",NA,"Wide street: L/H > 1.5",19.851667,41.3456,207,"TIRANA",NA,NA,NA,"no",19.8516845707089,41.3457031247944
6,"AT0ACH1","10ACH1","AT","Austria","Achenkirch - Am Zenzfeld",7.33104e+11,"2003-09-17","Background","rural","rural","regional",NA,11.70028,47.503056,463,NA,NA,NA,NA,"yes",11.7003173830427,47.5031127932101
7,"AT0ENK1","10ENK1","AT","Austria","Enzenkirchen im Sauwald",8.96832e+11,NA,"Background","rural background","rural","remote",NA,13.671114,48.39167,525,NA,NA,"41408","Enzenkirchen","no",13.6710815433586,48.3917236326486
8,"AT0HBG1","HBG1","AT","Austria","Hochburg-Ach",726019200000,"1998-05-31","Background",NA,"rural",NA,NA,12.866947,48.148056,463,"HOCHBURG-ACH",NA,"40414","Hochburg-Ach","no",12.8668823239582,48.148071288866
9,"AT0ILL1","10ILL1","AT","Austria","Illmitz",262828800000,NA,"Background","rural background","rural","remote",NA,16.766403,47.77,117,NA,NA,NA,NA,"yes",16.7664794924913,47.7700805662607
10,"AT0KLH1",NA,"AT","Austria",NA,NA,NA,"background",NA,"rural-regional",NA,NA,15.956672,46.75277799,NA,NA,NA,NA,NA,NA,15.9567260741309,46.7529296874259
11,"AT0PIL1","10PIL1","AT","Austria","Pillersdorf bei Retz",696902400000,NA,"Background","rural background","rural","remote",NA,15.94223,48.721111,315,NA,NA,"31052","Zellerndorf","no",15.9423217771962,48.7211303713492
12,"AT0SIG1","10SIG1","AT","Austria","St. Sigmund im Sellrain",939081600000,"2008-10-22","Background","rural background","rural","remote",NA,11.099736,47.189167,1666,NA,NA,NA,NA,"no",11.0996704098709,47.1890869142732
13,"AT0SON1","10SON1","AT","Austria","Sonnblick",525916800000,NA,"Background","rural","rural","remote",NA,12.958342,47.054443,3106,NA,NA,"50617","Rauris","no",12.9583129883232,47.0545043946383
14,"AT0STO1","10STO1","AT","Austria","Stolzalpe bei Murau",688953600000,"2006-04-23","Background","rural background","rural","remote",NA,14.203892,47.129166,1302,NA,NA,NA,NA,"no",14.2039184569783,47.1290893556719
15,"AT0VOR1","10VOR1","AT","Austria","Vorhegg bei Kötschach-Mauthen",660268800000,NA,"Background","rural background","rural","remote",NA,12.971947,46.679722,1020,NA,NA,"20307","Kötschach-Mauthen","yes",12.9719238285202,46.6796874997308
16,"AT0ZIL1","10ZIL1","AT","Austria","Ried im Zillertal",1218153600000,"2012-01-01","Background",NA,"rural","regional",NA,11.863889,47.306667,555,NA,NA,NA,NA,"no",11.8638916014499,47.3067016604372
17,"AT0ZOE2","10ZOE2","AT","Austria","Zöbelboden - Reichraminger Hintergebirge",804556800000,NA,"Background","rural background","rural","remote",NA,14.441395,47.838612,899,NA,NA,"41512","Reichraming","yes",14.4415283203679,47.8386840818256
18,"AT10001","010001","AT","Austria","Eisenstadt Laschoberstraße",736214400000,NA,"Background","suburban","suburban",NA,"Wide street: L/H > 1.5",16.526674,47.84,160,"EISENSTADT",NA,"10101","Eisenstadt","no",16.5266723633914,47.8400878903947
19,"AT10002","010002","AT","Austria","Oberschützen",1224633600000,NA,"Background","rural","rural","regional","Canyon street: L/H < 1.5",16.193064,47.304167,330,NA,NA,NA,NA,"no",16.193115233949,47.3040771487083
20,"AT10003","010003","AT","Austria","Kittsee",928195200000,NA,"Background","suburban","suburban","near city","Highway: average speed vehicles > 80 km/h",17.071392,48.109444,138,"BRATISLAVA",NA,"10711","Kittsee","no",17.0714721677008,48.1094970703641
21,"AT10007","010007","AT","Austria","Mannersdorf an der Rabnitz",1.304208e+12,NA,"Background",NA,"rural","remote",NA,16.53,47.43,240,"MANNERSDORF AN DER RABNITZ",NA,NA,NA,"no",16.5300903317749,47.4301147460684
22,"AT11002","011002","AT","Austria","Oberwart",741484800000,"2008-10-20","Background",NA,"rural","regional",NA,16.193054,47.304165,330,NA,NA,NA,NA,"no",16.193115233949,47.3040771487083
23,"AT20444","02444","AT","Austria","Arnoldstein Kugi",855273600000,NA,"Industrial",NA,"rural",NA,"Unknown",13.698625,46.554165,570,"ARNOLDSTEIN",NA,"20702","Arnoldstein","no",13.69873046879,46.5540771486028
24,"AT2AUT1","02AUT1","AT","Austria","Rennweg A10",977356800000,"2012-01-01","Traffic","rural","rural",NA,"Highway: average speed vehicles > 80 km/h",13.603889,47.026944,1160,"RENNWEG",NA,NA,NA,"no",13.6038818360415,47.0269165041785
25,"AT2F101","02F101","AT","Austria","Soboth Forsthaus",817603200000,"2010-06-30","Background","rural background","rural","regional",NA,15.046123,46.675556,1080,NA,NA,NA,NA,"no",15.0460815429925,46.6754760742647
26,"AT2F202","02F202","AT","Austria","Klein St. Paul - Pemberg",818899200000,NA,"Industrial","rural","rural",NA,"Unknown",14.5289,46.841942,810,NA,NA,"20512","Kappel am Krappfeld","no",14.5289306641145,46.8419189451848
27,"AT2FE13","FE13","AT","Austria","Feldkirchen Milesistrasse",6.92496e+11,"1999-02-18","Traffic",NA,"rural",NA,"Unknown",14.090838,46.727501,550,"FELDKIRCHEN",NA,"21002","Feldkirchen in Kärnten","no",14.0908813472113,46.7274780275458
28,"AT2HE19","HE19","AT","Austria","Hermagor Gailtalstrasse",673228800000,"2001-05-07","Traffic",NA,"rural",NA,"Wide street: L/H > 1.5",13.373061,46.624722,600,"HERMAGOR",NA,"20305","Hermagor-Pressegger See","no",13.3731079103171,46.624694824364
29,"AT2KA11","02KA11","AT","Austria","Klagenfurt Koschatstrasse",652147200000,"2011-01-17","Traffic","urban","urban",NA,"Wide street: L/H > 1.5",14.298347,46.626111,440,"KLAGENFURT",NA,NA,NA,"no",14.2982788086574,46.6260986330271
30,"AT2KA21","02KA21","AT","Austria","Klagenfurt Völkermarkterstrasse",756518400000,NA,"Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",14.316947,46.619999,445,"KLAGENFURT",NA,"20101","Klagenfurt am Wörthersee","no",14.3170776370125,46.6201171876996
31,"AT2KA41","02KA41","AT","Austria","Klagenfurt Kreuzbergl",642124800000,NA,"Background","suburban","suburban",NA,NA,14.289173,46.629719,550,"KLAGENFURT",NA,"20101","Klagenfurt am Wörthersee","no",14.2893066404155,46.6296997068454
32,"AT2KA61","02KA61","AT","Austria","Klagenfurt Nordumfahrung A2",1.2096e+12,NA,"Traffic",NA,"suburban",NA,"Highway: average speed vehicles > 80 km/h",14.26891,46.652779,455,"KLAGENFURT",NA,"20101","Klagenfurt am Wörthersee","no",14.2689208985852,46.6528930666507
33,"AT2KA71","02KA71","AT","Austria","Klagenfurt Sterneckstraße",1.29384e+12,NA,"Background",NA,"urban",NA,NA,14.299167,46.626667,445,"KLAGENFURT",NA,NA,NA,"no",14.2993164059297,46.6267089844232
34,"AT2KL17","KL17","AT","Austria","Ferlach",686275200000,"2000-02-03","Background",NA,"rural",NA,NA,14.301683,46.529167,460,NA,NA,"20405","Ferlach","no",14.3016967770409,46.5292968748463
35,"AT2M121","02M121","AT","Austria","Arnoldstein Gailitz Waldsiedlungsweg",855273600000,NA,"Industrial","rural","rural",NA,"Unknown",13.705003,46.558887,574,"ARNOLDSTEIN",NA,"20702","Arnoldstein","no",13.705078125386,46.5588989259956
36,"AT2M226","02M226","AT","Austria","Ebenthal Zell",1164931200000,NA,"Background",NA,"rural",NA,NA,14.398611,46.608334,430,"EBENTHAL",NA,NA,NA,"no",14.398681640366,46.6082763669767
37,"AT2SP10","02SP10","AT","Austria","Obervellach Schulzentrum",681004800000,NA,"Background","rural","rural","regional","Unknown",13.195567,46.935558,686,NA,NA,"20627","Obervellach","no",13.1956787111782,46.9354858400267
38,"AT2SP18","02SP18","AT","Austria","Spittal a.d.Drau Oktoberstrasse",681004800000,NA,"Background","suburban","suburban",NA,"Unknown",13.495567,46.801666,560,"SPITTAL AN DER DRAU",NA,"20635","Spittal an der Drau","no",13.4954833982296,46.8016967773808
39,"AT2SP20","02SP20","AT","Austria","Oberdrauburg Bundesstraße",6.94224e+11,NA,"Traffic","rural","rural",NA,"Wide street: L/H > 1.5",12.972783,46.748055,612,"OBERDRAUBURG",NA,"20625","Oberdrauburg","no",12.9729003906588,46.7481079100656
40,"AT2SV14","02SV14","AT","Austria","St. Veit a.d.Glan Oktoberplatz",6.64416e+11,"2008-03-10","Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",14.355003,46.765835,475,"SANKT VEIT AN DER GLAN",NA,NA,NA,"no",14.3551025387601,46.7659301755292
41,"AT2SV24","02SV24","AT","Austria","St. Veit a.d.Glan Hauptbahnhof",1205107200000,NA,"Background",NA,"urban",NA,"Wide street: L/H > 1.5",14.365833,46.770279,480,"SANKT VEIT AN DER GLAN",NA,"20527","St. Veit an der Glan","no",14.3659057619102,46.7703247068375
42,"AT2TREI","02TREI","AT","Austria","Treibach",1167609600000,NA,"Industrial",NA,"rural",NA,NA,14.458342,46.863331,605,"ALTHOFEN",NA,NA,NA,"no",14.4583129884138,46.8632812497883
43,"AT2VI12","02VI12","AT","Austria","Villach Tirolerbrücke",652147200000,NA,"Traffic","urban","urban",NA,"Wide street: L/H > 1.5",13.841116,46.611111,490,"VILLACH",NA,"20201","Villach","no",13.8411254886292,46.6110839841221
44,"AT2VK16","VK16","AT","Austria","Völkermarkt Umfahrungsstraße",673574400000,"2000-12-31","Traffic",NA,"rural",NA,"Wide street: L/H > 1.5",14.63307,46.663891,460,"VÖLKERMARKT",NA,"20817","Völkermarkt","no",14.6331176759068,46.6638793944501
45,"AT2VK26","02VK26","AT","Austria","Bleiburg Koschatstrasse",686275200000,"2011-12-31","Background","rural","rural","unknown","Unknown",14.795011,46.585556,480,"BLEIBURG",NA,NA,NA,"no",14.7951049808388,46.5856933592765
46,"AT2VL12","VL12","AT","Austria","Fürnitz Bahnhofstrasse",654739200000,"2001-05-05","Industrial",NA,"rural",NA,"Wide street: L/H > 1.5",13.811122,46.563889,515,NA,NA,"20711","Finkenstein am Faaker See","no",13.8110961911883,46.5639038083911
47,"AT2VL22","02VL22","AT","Austria","Arnoldstein Waldsiedlung",454809600000,"2010-07-01","Industrial",NA,"rural",NA,"Unknown",13.7089,46.55722,580,"ARNOLDSTEIN",NA,NA,NA,"no",13.7089233397051,46.5573120115131
48,"AT2VL52","02VL52","AT","Austria","Gerlitzen Steinturm",6.47136e+11,NA,"Background","rural background","rural","regional",NA,13.901963,46.683891,1895,NA,NA,"20724","Treffen am Ossiacher See","no",13.9020996096176,46.6838989260511
49,"AT2VL62","02VL62","AT","Austria","Arnoldstein Hohenthurn",440726400000,"2010-07-01","Industrial",NA,"rural",NA,"Unknown",13.666947,46.558056,670,"ARNOLDSTEIN",NA,NA,NA,"no",13.6668701173391,46.5581054686875
50,"AT2WO15","02WO15","AT","Austria","Wolfsberg Hauptschule",657331200000,NA,"Traffic","urban","urban",NA,"Canyon street: L/H < 1.5",14.844174,46.835278,440,"WOLFSBERG",NA,"20923","Wolfsberg","no",14.8442993165385,46.8353271481574
51,"AT2WO25","02WO25","AT","Austria","St. Andrä im Lavanttal Volksschule",655948800000,NA,"Industrial",NA,"urban",NA,"Canyon street: L/H < 1.5",14.822227,46.763889,430,"SANKT ANDRÄ IM LAVANTTAL",NA,"20913","St. Andrä","no",14.8223266603345,46.7639160153904
52,"AT2WO35","02WO35","AT","Austria","St. Georgen im Lavanttal - Herzogberg",652924800000,NA,"Background","rural","rural","regional",NA,14.891953,46.708057,540,NA,NA,"20914","St. Georgen im Lavanttal","no",14.8920898441638,46.7081298827702
53,"AT30065","030065","AT","Austria","Purkersdorf",1041379200000,NA,"Background","suburban","suburban",NA,"Unknown",16.175564,48.207222,248,"PURKERSDORF",NA,"32416","Purkersdorf","no",16.1754760740318,48.2072753903679
54,"AT30101","030101","AT","Austria","Amstetten",6.31152e+11,NA,"Background","suburban","suburban",NA,"Wide street: L/H > 1.5",14.879178,48.120277,270,"AMSTETTEN",NA,"30502","Amstetten","no",14.8790893553035,48.1203002928377
55,"AT30102","30102","AT","Austria","St. Valentin Stein",528508800000,"2005-12-31","Background","rural","rural","remote","Unknown",14.562789,48.226665,242,NA,NA,NA,NA,"no",14.5629272461419,48.2266845705944
56,"AT30103","030103","AT","Austria","Kollmitzberg",537321600000,NA,"Background","rural background","rural","regional",NA,14.866667,48.179722,465,NA,NA,"30503","Ardagger","no",14.866699218678,48.1796875000451
57,"AT30104","030104","AT","Austria","St. Valentin A1",1136851200000,NA,"Traffic","rural","rural","regional",NA,14.545568,48.18,295,"ST. VALENTIN",NA,"30531","St. Valentin","no",14.5457153321603,48.1801147460809
58,"AT30201","030201","AT","Austria","Bad Vöslau - Gainfarn",717897600000,NA,"Background","rural","suburban",NA,"Unknown",16.206951,47.959999,286,"BAD VÖSLAU",NA,"30603","Bad Vöslau","no",16.207092284948,47.9600830080913
59,"AT30202","030202","AT","Austria","Forsthof am Schöpfl",5.70672e+11,NA,"Background","rural background","rural","regional",NA,15.919448,48.10611,581,NA,NA,"30616","Klausen-Leopoldsdorf","no",15.919494629121,48.1060791014476
60,"AT30301","030301","AT","Austria","Hainburg",5.05872e+11,NA,"Background","rural","suburban",NA,"Wide street: L/H > 1.5",16.961123,48.14389,165,"HAINBURG",NA,"30710","Hainburg a.d. Donau","no",16.9611206056117,48.1439208984825
61,"AT30302","030302","AT","Austria","Stixneusiedl",6.07392e+11,NA,"Background","rural","rural","near city","Unknown",16.676674,48.050831,210,NA,NA,"30726","Trautmannsdorf an der Leitha","no",16.6766967776336,48.0509033201115
62,"AT30401","030401","AT","Austria","Gänserndorf",504921600000,NA,"Background","suburban","suburban",NA,"Unknown",16.73057,48.334721,161,"GÄNSERNDORF",NA,"30817","Gänserndorf","no",16.7307128906894,48.3347167971172
63,"AT30402","30402","AT","Austria","Deutsch Wagram",733622400000,"2002-09-30","Background",NA,"rural","near city","Unknown",16.559174,48.298332,160,"DEUTSCH WAGRAM",NA,"30808","Deutsch-Wagram","no",16.5593261715799,48.2982788082965
64,"AT30403","030403","AT","Austria","Wolkersdorf",604713600000,NA,"Background","rural","rural","near city","Unknown",16.522228,48.392223,190,"WOLKERSDORF",NA,"31655","Wolkersdorf im Weinviertel","no",16.522277831971,48.3922729493193
65,"AT30406","30406","AT","Austria","Großenzersdorf Friedhof",633830400000,"2004-08-10","Background",NA,"rural","near city","Unknown",16.55056,48.195,155,"GROSSENZERSDORF",NA,"30821","Groß-Enzersdorf","no",16.5504760745036,48.195129394342
66,"AT30407","030407","AT","Austria","Großenzersdorf Glinzendorf",1.092096e+12,NA,"Background","rural","rural","near city",NA,16.636948,48.236668,150,"GROSSENZERSDORF",NA,"30819","Glinzendorf","no",16.6370849606142,48.2366943357662
67,"AT30502","030502","AT","Austria","Heidenreichstein Thaures",604713600000,NA,"Background","rural","rural","regional","Unknown",15.046679,48.878609,560,NA,NA,"30916","Heidenreichstein","no",15.0466918943292,48.8787231442775
68,"AT30599","030599","AT","Austria","Klosterneuburg Wiener Straße",1.155168e+12,NA,"Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",16.326399,48.306942,192,"KLOSTERNEUBURG",NA,NA,NA,"no",16.3264770504126,48.3068847655332
69,"AT30601","030601","AT","Austria","Klosterneuburg Wisentgasse",621302400000,NA,"Background","suburban","suburban",NA,"Unknown",16.304724,48.301388,200,"KLOSTERNEUBURG",NA,NA,NA,"no",16.3046874996097,48.3015136718216
70,"AT30602","602","AT","Austria","Fischamend",562723200000,"2002-09-05","Background",NA,"rural","near city","Unknown",16.627232,48.109444,179,NA,NA,"32402","Fischamend","no",16.6273193356347,48.1094970703641
71,"AT30603","030603","AT","Austria","Himberg",7.30944e+11,NA,"Background","rural","rural","near city","Unknown",16.433332,48.086109,172,"HIMBERG",NA,"32406","Himberg","no",16.4332885738509,48.086120605618
72,"AT30701","030701","AT","Austria","Ziersdorf",1.092096e+12,NA,"Background","rural","rural","regional",NA,15.942786,48.528889,230,NA,NA,NA,NA,"no",15.9428710933992,48.528930663969
73,"AT30801","030801","AT","Austria","Irnfritz",615254400000,NA,"Background","rural","rural","regional","Unknown",15.50028,48.724445,556,NA,NA,"31110","Irnfritz-Messern","no",15.5003051757066,48.7244873049138
74,"AT30901","030901","AT","Austria","Korneuburg",523238400000,"2002-09-06","Background",NA,"urban",NA,"Unknown",16.334723,48.349998,170,"KORNEUBURG",NA,NA,NA,"no",16.3347167970506,48.3500976563165
75,"AT30902","030902","AT","Austria","Stockerau West",1129334400000,NA,"Traffic","suburban","suburban",NA,"Highway: average speed vehicles > 80 km/h",16.21446,48.38833,186,"STOCKERAU",NA,NA,NA,"no",16.2144775388163,48.3883056640269
76,"AT30903","030903","AT","Austria","Langenzersdorf",7.30944e+11,"2002-10-26","Background",NA,"rural","near city","Unknown",16.361389,48.303055,160,"LANGENZERSDORF",NA,NA,NA,"no",16.3615112306106,48.3031005857186
77,"AT30992","030992","AT","Austria","Stockerau Schulweg",494380800000,"2005-10-14","Background",NA,"suburban",NA,NA,16.212223,48.388889,170,"STOCKERAU",NA,NA,NA,"no",16.2122802731061,48.3889160155516
78,"AT31102","031102","AT","Austria","Annaberg - Joachimsberg",667785600000,NA,"Background","rural background","rural","remote",NA,15.321947,47.855278,891,"ANNABERG",NA,"31401","Annaberg","no",15.32208251983,47.8552856446819
79,"AT31204","031204","AT","Austria","Pöchlarn",925516800000,NA,"Background","rural","rural","regional","Unknown",15.207228,48.213055,216,"PÖCHLARN",NA,"31533","Pöchlarn","no",15.2072753902885,48.2130737303215
