Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProcess	Sample	AirPollutantCode	AirPollutant	Projection	Longitude	Latitude	Altitude	MeasurementType	MeasurementMethod	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00001_100	SPP-AL_A_UV-FL_API100E	SPO_F-AL0201A_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	162	automatic	UV-FL	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00005_100	SPP-AL_A_light-scat_GRIMM-EDM180	SPO_F-AL0201A_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	162	automatic	light-scat	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00007_100	SPP-AL_A_UV-P_API400E	SPO_F-AL0201A_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	162	automatic	UV-P	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00008_100	SPP-AL_A_chemi_API200A	SPO_F-AL0201A_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	162	automatic	chemi	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00010_100	SPP-AL_A_NDIR_ML9830B	SPO_F-AL0201A_00010_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10	CO	EPSG:4979	nan	nan	162	automatic	NDIR	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00020_100	SPP-AL_A_GC-FID_GC955	SPO_F-AL0201A_00020_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	C6H6	EPSG:4979	nan	nan	162	automatic	GC-FID	traffic	urban			0	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00038_100	SPP-AL_A_chemi_thermo14B-E	SPO_F-AL0201A_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	162	automatic	chemi	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_06001_100	SPP-AL_A_light-scat_GRIMM-EDM180	SPO_F-AL0201A_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	162	automatic	light-scat	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00001_100	SPP-AL_A_UV-FL_API100E	SPO_F-AL0202A_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	207	automatic	UV-FL	traffic	suburban			3	-999	5
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00005_100	SPP-AL_A_light-scat_GRIMM-EDM180	SPO_F-AL0202A_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	207	automatic	light-scat	traffic	suburban			3	-999	5
