OBJECTID,station_eu,component_,statistics,statisti_1,statistic_,station__1,country_na,type_of_st,station_ty,station__2,station_la,nb_luabloc,nb_luAgloc2010,nb_luFrloc,nb_luGUloc,nb_luIdloc2010,nb_luUrloc2010,nb_pop2010,nb_proxAg_empl,nb_proxAg_gva,nb_proxId_empl,nb_proxId_gva,nb_proxUr_empl,nb_proxUr_gva,nb_rHloc,nb_rLloc,nb_rMloc,nb_toploc,re_coastal,re_mdtall,re_tempall,re_windspa,r_proxIf2010,r_proxIn2010,r_proxUr2010
19,AT0ENK1,8,2010,day,13.23,AT0ENK1,AUSTRIA,Background,rural,13.671114,48.39167,0,5500,500,0,0,0,0,1464.76001,1.3905801,0,0,0,0,0,0,0,1.86656,5.4601898,522,9.3269901,0,15154.40039,0,518.9699707
20,AT0ILL1,8,2010,day,10.873,AT0ILL1,AUSTRIA,Background,rural,16.766403,47.77,0,2800,1900,0,0,0,0,1206.219971,0.502539,0,0,0,0,0,0,0,2.0043199,5.50913,114,11.2299004,2.7809,11525.90039,0,0
21,AT0PIL1,8,2010,day,10.149,AT0PIL1,AUSTRIA,Background,rural,15.94223,48.721111,0,8100,0,0,0,0,0,759.6480103,0.948862,0,0,0,0,0,0,0,2.00278,5.5704598,280,9.9039898,3.4906499,23692.09961,0,518.9699707
22,AT0VOR1,8,2010,day,4.401,AT0VOR1,AUSTRIA,Background,rural,12.971947,46.679722,0,3000,1500,0,0,0,0,575.1040039,0.317587,0,0,0,0,0,0,0,1.05984,5.03163,1074,4.6239901,0.420733,17502.19922,0,172.9900055
23,AT0ZIL1,8,2010,day,18.735,AT0ZIL1,AUSTRIA,Background,rural,11.86389,47.306667,0,5300,400,0,0,200,0,584.3540039,0.306116,0,0,0,0,0,0,0,0.865488,5.3091402,553,4.0266199,1.39597,17715.69922,0,4151.759766
24,AT0ZOE2,8,2010,day,5.961,AT0ZOE2,AUSTRIA,Background,rural,14.441395,47.838612,0,0,2900,0,0,0,0,804.2080078,0.744264,0,0,0,0,0,0,0,1.0888799,5.37503,902,7.4300199,1.24848,0,0,0
25,AT2KA11,8,2010,day,26.591,AT2KA11,AUSTRIA,Traffic,urban,14.298347,46.626111,0,0,0,0,0,2900,0,0,0.06816,230137,3.56615,117907,6.8227,0,112,0,1.9770499,5.03404,449,7.8821602,0.459434,75345,28515.09961,27072.90039
26,AT2SP10,8,2010,day,12.731,AT2SP10,AUSTRIA,Background,rural,13.195567,46.935558,0,1600,0,0,0,2100,0,59.4934998,0.296324,0,0,56610,3.2650299,0,0,0,0.836836,5.11168,689,2.8447499,0.949831,18996.30078,0,4800.470215
27,AT2SP18,8,2010,day,24.791,AT2SP18,AUSTRIA,Background,suburban,13.495567,46.801666,0,0,100,0,0,2400,0,19.8311996,0.187281,2883500,75.5539017,51463.60156,2.96821,0,0,0,1.33434,5.0482702,574,4.8824501,0.89785,56348.69922,13687.2998,12628.2998
28,AT2SV24,8,2010,day,24.449,AT2SV24,AUSTRIA,Background,urban,14.365833,46.770279,0,100,0,0,0,2900,0,0,0.329447,522599,24.4043999,58904.10156,3.3901701,0,0,15,1.75607,5.0959201,480,7.9119701,1.38792,46957.19922,3421.820068,13839.2002
29,AT2WO15,8,2010,day,33.907,AT2WO15,AUSTRIA,Traffic,urban,14.844174,46.835278,0,0,0,0,0,2800,0,0,0.245421,6663130,122.0220032,54373,3.12939,0,0,21,1.70655,5.1785998,453,7.03826,0.977822,59550.30078,30796.30078,17861.19922
