"OBJECTID","station_eu","component_","statistics","statisti_1","statistic_","station__1","country_na","type_of_st","station_ty","station__2","station_la","nb_luabloc","nb_luAgloc2010","nb_luFrloc","nb_luGUloc","nb_luIdloc2010","nb_luUrloc2010","nb_pop2010","nb_proxAg_empl","nb_proxAg_gva","nb_proxId_empl","nb_proxId_gva","nb_proxUr_empl","nb_proxUr_gva","nb_rHloc","nb_rLloc","nb_rMloc","nb_toploc","re_coastal","re_mdtall","re_tempall","re_windspa","r_proxIf2010","r_proxIn2010","r_proxUr2010","station_code_norm","longitude_recovered","latitude_recovered","coord_source","key_source_column","n_metadata_records","n_unique_coord_pairs","coordinate_ambiguous","coordinate_match","station_country_code","country_name_original"
19,"AT0ENK1",8,2010,"day",13.23,"AT0ENK1","AUSTRIA","Background","rural",13.671114,48.39167,0,5500,500,0,0,0,0,1464.76001,1.3905801,0,0,0,0,0,0,0,1.86656,5.4601898,522,9.3269901,0,15154.40039,0,518.9699707,"AT0ENK1",13.6710815433586,48.3917236326486,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
20,"AT0ILL1",8,2010,"day",10.873,"AT0ILL1","AUSTRIA","Background","rural",16.766403,47.77,0,2800,1900,0,0,0,0,1206.219971,0.502539,0,0,0,0,0,0,0,2.0043199,5.50913,114,11.2299004,2.7809,11525.90039,0,0,"AT0ILL1",16.7664794924913,47.7700805662607,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
21,"AT0PIL1",8,2010,"day",10.149,"AT0PIL1","AUSTRIA","Background","rural",15.94223,48.721111,0,8100,0,0,0,0,0,759.6480103,0.948862,0,0,0,0,0,0,0,2.00278,5.5704598,280,9.9039898,3.4906499,23692.09961,0,518.9699707,"AT0PIL1",15.9423217771962,48.7211303713492,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
22,"AT0VOR1",8,2010,"day",4.401,"AT0VOR1","AUSTRIA","Background","rural",12.971947,46.679722,0,3000,1500,0,0,0,0,575.1040039,0.317587,0,0,0,0,0,0,0,1.05984,5.03163,1074,4.6239901,0.420733,17502.19922,0,172.9900055,"AT0VOR1",12.9719238285202,46.6796874997308,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
23,"AT0ZIL1",8,2010,"day",18.735,"AT0ZIL1","AUSTRIA","Background","rural",11.86389,47.306667,0,5300,400,0,0,200,0,584.3540039,0.306116,0,0,0,0,0,0,0,0.865488,5.3091402,553,4.0266199,1.39597,17715.69922,0,4151.759766,"AT0ZIL1",11.8638916014499,47.3067016604372,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
24,"AT0ZOE2",8,2010,"day",5.961,"AT0ZOE2","AUSTRIA","Background","rural",14.441395,47.838612,0,0,2900,0,0,0,0,804.2080078,0.744264,0,0,0,0,0,0,0,1.0888799,5.37503,902,7.4300199,1.24848,0,0,0,"AT0ZOE2",14.4415283203679,47.8386840818256,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
25,"AT2KA11",8,2010,"day",26.591,"AT2KA11","AUSTRIA","Traffic","urban",14.298347,46.626111,0,0,0,0,0,2900,0,0,0.06816,230137,3.56615,117907,6.8227,0,112,0,1.9770499,5.03404,449,7.8821602,0.459434,75345,28515.09961,27072.90039,"AT2KA11",14.2982788086574,46.6260986330271,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
26,"AT2SP10",8,2010,"day",12.731,"AT2SP10","AUSTRIA","Background","rural",13.195567,46.935558,0,1600,0,0,0,2100,0,59.4934998,0.296324,0,0,56610,3.2650299,0,0,0,0.836836,5.11168,689,2.8447499,0.949831,18996.30078,0,4800.470215,"AT2SP10",13.1956787111782,46.9354858400267,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
27,"AT2SP18",8,2010,"day",24.791,"AT2SP18","AUSTRIA","Background","suburban",13.495567,46.801666,0,0,100,0,0,2400,0,19.8311996,0.187281,2883500,75.5539017,51463.60156,2.96821,0,0,0,1.33434,5.0482702,574,4.8824501,0.89785,56348.69922,13687.2998,12628.2998,"AT2SP18",13.4954833982296,46.8016967773808,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
28,"AT2SV24",8,2010,"day",24.449,"AT2SV24","AUSTRIA","Background","urban",14.365833,46.770279,0,100,0,0,0,2900,0,0,0.329447,522599,24.4043999,58904.10156,3.3901701,0,0,15,1.75607,5.0959201,480,7.9119701,1.38792,46957.19922,3421.820068,13839.2002,"AT2SV24",14.3659057619102,46.7703247068375,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
29,"AT2WO15",8,2010,"day",33.907,"AT2WO15","AUSTRIA","Traffic","urban",14.844174,46.835278,0,0,0,0,0,2800,0,0,0.245421,6663130,122.0220032,54373,3.12939,0,0,21,1.70655,5.1785998,453,7.03826,0.977822,59550.30078,30796.30078,17861.19922,"AT2WO15",14.8442993165385,46.8353271481574,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
30,"AT2WO35",8,2010,"day",12.077,"AT2WO35","AUSTRIA","Background","rural",14.891953,46.708057,0,4400,600,0,0,0,0,833.1119995,0.488346,0,0,0,0,0,0,0,1.5999,5.1542201,518,7.63658,0,19423.19922,0,389.2269897,"AT2WO35",14.8920898441638,46.7081298827702,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
31,"AT30065",8,2010,"day",23.517,"AT30065","AUSTRIA","Background","suburban",16.175564,48.207222,0,0,400,0,400,1700,0,118.2580032,0.941864,255730,20.0793991,36645.80078,2.2189701,0,47,0,1.64565,5.5226102,246,10.2531004,1.83474,29241.5,26233.90039,6097.890137,"AT30065",16.1754760740318,48.2072753903679,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
32,"AT30201",8,2010,"day",17.218,"AT30201","AUSTRIA","Background","suburban",16.206951,47.959999,0,1400,0,400,100,2200,0,27.2318001,0.430956,513121,23.3225002,96985.29688,6.9853601,0,0,0,1.96981,5.49545,265,10.0388002,2.71503,33937.30078,78701.79688,11547.09961,"AT30201",16.207092284948,47.9600830080913,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
33,"AT30202",8,2010,"day",9.977,"AT30202","AUSTRIA","Background","rural",15.919448,48.10611,0,4100,1300,0,0,0,0,1019.450012,1.02463,0,0,0,0,0,33,0,1.72821,5.49541,574,9.4620104,2.5678999,13020,0,0,"AT30202",15.919494629121,48.1060791014476,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
34,"AT30302",8,2010,"day",15.856,"AT30302","AUSTRIA","Background","rural",16.676674,48.050831,0,7700,0,0,0,0,0,789.7210083,0.742724,6841.620117,0.630339,0,0,0,0,0,1.97798,5.5364299,221,10.8662004,1.89182,18356,1140.609985,1513.660034,"AT30302",16.6766967776336,48.0509033201115,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
