"example_id","source","variable","units","correction_type","r2_definition","r_obs","r2_obs","r_ols","r_wls","rmse_obs","ubrmse_obs","bias_obs","sigma_sre","sigma2_delta","rmse_intrinsic_reported","ubrmse_intrinsic_reported","sigma2_obs","sigma2_eps","q_eps","r_ME","R2_ME","RMSE_ME","lambda","sigma2_block","r_B","R2_B","RMSE_B","n_pairs","n_outliers","correction_status","notes","study","prediction_support","reference_support","information_tier","available_information","main_limitation","source_study","table_source","support_note","r_B_raw","R2_B_raw","RMSE_B_raw","mse_B_raw","mse_B","r_bound_truncated","r2_bound_truncated","mse_bound_truncated","r_noninformative","r2_noninformative","mse_noninformative","support_variance_exceeds_observed_mse","regional_setting","measurement_error_regional_source","model_label","cell_side","equivalent_radius","residual_sill_obs","residual_nugget_obs","residual_nugget_true","partial_sill","structural_covariance_model","spherical_range","sigma2_obs_source","trend_var","gamma_resid_struct_R","rho_resid_struct_R","gamma_resid_true_R","rho_resid_true_R","sigma2_delta_resid_struct","var_block_resid","gamma_true_R","r2_correlation","r2_correlation_tier1","r2_correlation_tier2","r2_correlation_tier2_raw","r2_correlation_tier2_noninformative","r2_predictive","variogram_model","variogram_range","true_nugget","nugget_to_sill","rho_R","rho_struct_R","data_source_observations","data_source_stations","validation_design","predictor_variables","n_validation","measurement_error_assumption","variogram_nugget","variogram_spherical_psill","variogram_spherical_range_m","gamma_struct_R","sigma2_delta_struct","data_source","model_type","predictor_vars","n_total_raw","n_model_complete","n_variogram","variogram_range_m","partial_sill_scaled","true_nugget_used_for_support","measurement_error_nugget","fitted_nugget_scaled","nugget_measurement_error_fraction","nugget_support_fraction","measurement_error_sd","total_nugget_sd","total_nugget_observed","effective_range","dataset_label","display_label","validation_model","rmse_obs_source","rmse_to_sd_ratio","sigma_obs_reconstructed","sigma2_obs_reconstructed","response_variance_source","sigma_allometric","sigma_within_site","sigma_eps","reference_error_source","n_field_sites_total","n_dwarf_shrub_sites","field_site_side_m","subplot_side_m","n_subplots_per_site","tier2_status","RMSD_obs_biased","ubRMSD_obs","ubRMSD_ME","n_tc_sites","tc_sigma_eps_min","tc_sigma_eps_max","validation_metric_source"
"example_zandler_2015_biomass","Zandler et al. (2015), LASSO LSRE dwarf-shrub biomass model","Total biomass","kg ha^-1","tier1_reference_error_only","predictive_skill",0.661437827766148,0.4375,NA,NA,992,NA,NA,NA,NA,NA,NA,1749447.11111111,300724,0.171896594123959,0.726853261058343,0.528315663111147,826.643816888507,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1 reference-error calculation only. Observed RMSE = 992 kg ha^-1 from the LASSO LSRE spatial-CV result. Observed biomass variance is reconstructed from the statement that this RMSE is about 75% of the biomass standard deviation. Reference-error variance combines 180^2 kg^2 ha^-2 allometric uncertainty and 518^2 kg^2 ha^-2 within-site subplot-sampling uncertainty. No response semivariogram is reported, so no Tier 2 support adjustment is attempted.","Biomass","30 m map pixel","60 m field site; two 4 m x 4 m subplots","Tier 1","Spatial-CV RMSE; approximate response SD reconstructed from RMSE/SD ratio; allometric and within-site reference-error components","Reference support is a field-site estimate from sparse subplots; response variance is reconstructed from a rounded RMSE/SD ratio; no semivariogram is available.","Zandler et al. (2015)",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spatial cross-validation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biomass","Biomass","LASSO LSRE","Zandler et al. (2015), LASSO LSRE spatial-CV RMSE",0.75,1322.66666666667,1749447.11111111,"reconstructed from RMSE = 75% of biomass SD",180,518,548.383077784134,"Zandler et al. (2015) uncertainty discussion: allometric model error and within-site subplot-sampling precision",137,122,60,4,2,"not computed: no response semivariogram or covariance model reported",NA,NA,NA,NA,NA,NA,NA
"example_brenning_2005_bts","Brenning et al. (2005), Zermatt BTS regression model; measurement-error component transferred from Norway BTS data in Table 1","BTS","deg C","tier2_measurement_error_plus_semivariogram","squared_correlation",0.671565335615233,0.451,NA,NA,1.81659021245849,NA,NA,NA,0.762890520325107,NA,NA,4.19,0.05,0.0119331742243437,0.675608510828114,0.456446859903382,1.80277563773199,0.805992715912862,3.37710947967489,0.748036367290603,0.559558406789322,1.57705722143329,NA,NA,NA,"Zermatt, Swiss Alps BTS model (2): R2=0.451, observed response variance=4.19, residual sill=3.3, residual nugget=0.45 and range=180 m. Measurement-error variance=0.05 is transferred from related meso-scale BTS data from Jotunheimen, southern Norway, reported in Brenning et al. (2005) Table 1 after Oedegaard et al. (1999). Target support is a 30 m grid cell.","BTS","30 m grid cell","BTS point observation","Tier 2","ordinary-regression R2, residual semivariogram, transferred measurement-error variance","Measurement-error variance is not Zermatt-specific; it is transferred from related Norway BTS data reported in the source study.",NA,NA,NA,0.748036367290603,0.559558406789322,1.57705722143329,2.48710947967489,2.48710947967489,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Zermatt, Swiss Alps","Jotunheimen, southern Norway; Oedegaard et al. (1999), as reported in Brenning et al. (2005) Table 1","Brenning et al. (2005) model (2): BTS = 11.4 - 0.0061 Z + 0.12 PSWR",30,16.9256875064327,3.3,0.45,0.4,2.85,"Spherical",180,"sample variance of original Zermatt BTS reference observations",0.890000000000001,0.400800302124867,0.859368315043906,0.800800302124867,0.753599907038502,0.362890520325107,2.48710947967489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"example_meuse_logcadmium_lm_100m","sp::meuse / sp::meuse.grid, linear model analysed with sf","Log cadmium","log(mg kg^-1)","tier3_support_sensitivity_bulk_samples_as_points","predictive_skill",0.842518439807023,0.711153290760843,NA,NA,0.658342215439615,NA,NA,NA,0.637089814771771,NA,NA,1.50049994951158,0,0,0.842518439807023,0.711153290760843,0.658342215439615,0.575414970870777,0.863410134739809,NA,NA,NA,NA,NA,NA,"LOOCV linear model using predictors available in meuse.grid: x, y, dist, ffreq, soil . Predictive R2 is computed as 1 - MSE_LOOCV / Var(response) and corrected on the MSE scale. For audit, squared-correlation R2 from LOOCV predictions is also stored and adjusted through lambda. Measurement error is unknown and set to zero. The observations are bulk soil samples with finite support but are treated as points here for illustration.","Meuse--Cd","100 m grid cell","treated as point soil sample","Tier 3","LOOCV predictive R2, response variance and fitted response semivariogram","Bulk soil samples treated as point support for illustration.",NA,NA,NA,1.1106797052841,1.23589639957517,NA,-0.203675342141831,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,100,56.4189583547756,NA,NA,NA,1.33979693168681,"Spherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.646412571321658,0.709837321414861,0.709837321414861,NA,1.23360940772998,TRUE,0.711153290760843,"Nug+Sph",1149.43730947244,0.54784794065278,0.290228288530651,0.569201870661796,0.896536584448134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"example_meuse_logzinc_lm_100m","sp::meuse / sp::meuse.grid, linear model analysed with sf","Log zinc","log(mg kg^-1)","tier3_support_sensitivity_bulk_samples_as_points","predictive_skill",0.808122836849153,0.654428106158455,NA,NA,0.424360401812577,NA,NA,NA,0.101043803417827,NA,NA,0.521112260099211,0,0,0.808122836849153,0.654428106158455,0.424360401812577,0.806099738665543,0.420068456681385,0.900083891910491,0.811845079173239,0.281136883401495,NA,NA,NA,"LOOCV linear model using predictors available in meuse.grid: x, y, dist, ffreq, soil . Predictive R2 is computed as 1 - MSE_LOOCV / Var(response) and corrected on the MSE scale. For audit, squared-correlation R2 from LOOCV predictions is also stored and adjusted through lambda. Measurement error is unknown and set to zero. The observations are bulk soil samples with finite support but are treated as points here for illustration.","Meuse--Zn","100 m grid cell","treated as point soil sample","Tier 3","LOOCV predictive R2, response variance and fitted response semivariogram","Bulk soil samples treated as point support for illustration.",NA,NA,NA,0.900083891910491,0.811845079173239,0.281136883401495,0.0790379472087055,0.0790379472087055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,100,56.4189583547756,NA,NA,NA,0.59060483247129,"Spherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106307265424144,0.653062519437122,0.653062519437122,0.810151012476736,0.810151012476736,FALSE,0.654428106158455,"Nug+Sph",896.999065035911,0.0506594335928377,0.0789993085124934,0.795999300795755,0.881714321402739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"example_no2_de","UBA annual mean NO2 Germany 2018; simple 10-fold CV linear model","Annual mean NO2","ug m^-3","tier3_support_sensitivity_measurement_error_zero","squared_correlation",0.554601315570543,0.307582619232578,NA,NA,11.1753685587838,NA,NA,NA,109.458956008825,NA,NA,180.66666272208,0,0,0.554601315570543,0.307582619232578,11.1753685587838,0.394138606649275,71.2077067132552,0.883397990386474,0.780392009418861,3.92809195613204,NA,NA,NA,"NO2-DE uses UBA annual mean NO2 station data for 2018 and a simple 10-fold CV linear model. Measurement error is set to zero; the fitted response-semivariogram nugget is retained as true microscale variation.","NO2-DE","2 km grid cell","monitoring station annual mean","Tier 3","station data; simple 10-fold CV metrics; fitted response semivariogram; sigma_epsilon^2 set to 0","Illustrative validation model; annual-mean measurement error set to zero; fitted nugget not decomposed.",NA,NA,NA,0.883397990386474,0.780392009418861,3.92809195613204,15.4299064158292,15.4299064158292,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,2000,1128.37916709551,NA,NA,NA,68.3267518964106,"Spherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,109.519954186584,NA,NA,NA,NA,NA,NA,"Nug:108.88:0; Sph:68.327:179320",179323.722467641,108.875052345577,0.61441277537387,0.393800978351724,0.991017030574668,"Umweltbundesamt annual mean NO2 observations, 2018","Umweltbundesamt station metadata, German regulatory monitoring network","simple random 10-fold cross-validation","elevation;urban;population;corine",504,"sigma_epsilon^2 = 0",108.875052345577,68.3267518964106,179323.722467641,0.644901841007481,0.583903663248522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"example_no2_eu_split","Vizcaino and Lavalle (2018) NO2 Europe station data; recovered AirBase/EEA coordinates","Annual mean NO2","ug m^-3","tier2_response_variogram_nugget_partition","predictive_skill",0.745718230627357,0.552919863128605,NA,NA,9.53049017927051,NA,NA,NA,56.4328863108542,NA,NA,203.163226379926,56.417188375665,0.277693898551117,0.877433312478031,0.765492444296811,5.86626411624184,0.444534935296394,90.3131516934071,NA,NA,NA,NA,NA,NA,"RF 10-fold CV metrics computed from the released station table; 100 m prediction support; fitted response semivariogram; nugget partition: NO2-EU; 50/50 nugget split","NO2-EU; 50/50 nugget split","100 m grid cell","AirBase monitoring station","Tier 2 sens.","station data; recovered AirBase/EEA coordinates; response variance; CV RMSE; fitted response semivariogram; nugget partition scenario","Does not reproduce pan-European raster map; fitted nugget decomposition is a sensitivity assumption.",NA,NA,NA,1.11846348968284,1.24381644551726,NA,-22.0198316293475,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,100,56.4189583547756,NA,NA,NA,70.2290082640018,"Spherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556095679489997,NA,NA,NA,NA,0.552919863128605,"Sph + Nug",342797.705111138,56.417188375665,0.616367804746318,NA,0.999753124261026,NA,NA,"10-fold cross-validation",NA,1730,NA,112.83437675133,NA,NA,0.0173378383126124,0.0156979351892213,"Vizcaino and Lavalle (2018) Mendeley Data (CC BY 4.0); AirBase/EEA metadata","randomForest","nb_luabloc;nb_luAgloc2010;nb_luFrloc;nb_luGUloc;nb_luIdloc2010;nb_luUrloc2010;nb_pop2010;nb_proxAg_empl;nb_proxAg_gva;nb_proxId_empl;nb_proxId_gva;nb_proxUr_empl;nb_proxUr_gva;nb_rHloc;nb_rLloc;nb_rMloc;nb_toploc;re_coastal;re_mdtall;re_tempall;re_windspa;r_proxIf2010;r_proxIn2010;r_proxUr2010",1730,1730,1730,342797.705111138,70.2290082640018,56.417188375665,56.417188375665,112.83437675133,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"example_no2_eu_full_nugget","Vizcaino and Lavalle (2018) NO2 Europe station data; recovered AirBase/EEA coordinates","Annual mean NO2","ug m^-3","tier2_response_variogram_nugget_partition","predictive_skill",0.745718230627357,0.552919863128605,NA,NA,9.53049017927051,NA,NA,NA,112.850074686519,NA,NA,203.163226379926,0,0,0.745718230627357,0.552919863128605,9.53049017927051,0.444534935296394,90.3131516934071,NA,NA,NA,NA,NA,NA,"RF 10-fold CV metrics computed from the released station table; 100 m prediction support; fitted response semivariogram; nugget partition: NO2-EU; full nugget microscale","NO2-EU; full nugget microscale","100 m grid cell","AirBase monitoring station","Tier 2 sens.","station data; recovered AirBase/EEA coordinates; response variance; CV RMSE; fitted response semivariogram; nugget partition scenario","Does not reproduce pan-European raster map; fitted nugget decomposition is a sensitivity assumption.",NA,NA,NA,1.11846348968284,1.24381644551726,NA,-22.0198316293475,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,100,56.4189583547756,NA,NA,NA,70.2290082640018,"Spherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556095679489997,NA,NA,NA,NA,0.552919863128605,"Sph + Nug",342797.705111138,112.83437675133,0.616367804746318,NA,0.999753124261026,NA,NA,"10-fold cross-validation",NA,1730,NA,112.83437675133,NA,NA,0.0173378383126124,0.0156979351892213,"Vizcaino and Lavalle (2018) Mendeley Data (CC BY 4.0); AirBase/EEA metadata","randomForest","nb_luabloc;nb_luAgloc2010;nb_luFrloc;nb_luGUloc;nb_luIdloc2010;nb_luUrloc2010;nb_pop2010;nb_proxAg_empl;nb_proxAg_gva;nb_proxId_empl;nb_proxId_gva;nb_proxUr_empl;nb_proxUr_gva;nb_rHloc;nb_rLloc;nb_rMloc;nb_toploc;re_coastal;re_mdtall;re_tempall;re_windspa;r_proxIf2010;r_proxIn2010;r_proxUr2010",1730,1730,1730,342797.705111138,70.2290082640018,112.83437675133,0,112.83437675133,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"example_balenzano_2021_sentinel1_soil_moisture","Balenzano et al. (2021), Sentinel-1 soil moisture validation, Table 3","Soil moisture","m^3 m^-3","reported_spatial_representativeness_error_correction","not_used_reported_sre_example",NA,NA,0.46,0.54,0.088,0.085,0.021,0.053,0.002809,0.07,0.067,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0702495551587339,15057,82,"reported SRE: intrinsic RMSE reproduced by subtracting delta_SRE^2 from RMSE^2","S1-SM label. Directly uses Balenzano et al. (2021), Table 3: RMSE, ubRMSE, bias, delta_SRE, intrinsic RMSE, intrinsic ubRMSE, and OLS/WLS correlations. No covariance model is fitted and R/R2 are not re-corrected because the source study treats heteroscedastic uncertainty in both retrieved and observed variables directly.","S1-SM","Sentinel-1 soil moisture product, approximately 1 km","in situ point-scale soil moisture at 0.05 m depth","Reported SRE","reported RMSE, ubRMSE, bias, SRE, intrinsic RMSE, and OLS/WLS correlations","Direct SRE example; not a covariance-model post-hoc adjustment.","Balenzano et al. (2021)","Balenzano et al. (2021), Table 3, overall 1 km validation","Prediction support approximately 1 km; reference support point-scale in situ measurements at 0.05 m depth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"example_zhao_2021_tc","Zhao et al. (2021), SMAP L3_SM_E_P vs CRNS; TC with CLM-ParFlow","Soil moisture","cm^3 cm^-3","partial_tier1_reference_error_from_tc",NA,0.699,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA,0.000704923076923077,NA,NA,NA,0.0493059522073849,NA,NA,NA,NA,NA,NA,NA,"partial Tier 1: TC-estimated CRNS reference-error variance subtracted from ubRMSD only","SMAP-CRNS label. Uses published SMAP--CRNS r, RMSD, and ubRMSD plus TC-estimated CRNS error standard deviations from the CLM-ParFlow triplet. CRNS reference variance is not tabulated; q_epsilon, correlation, R2, and Tier 2 support adjustments are therefore not computed.","SMAP-CRNS","SMAP 9 km pixel","CRNS footprint","Partial Tier 1","r, ubRMSD, TC-estimated CRNS error SD","Reference variance not tabulated; only ubRMSD can be corrected.","Zhao et al. (2021)",NA,"SMAP 9 km pixel; CRNS field-scale footprint; no support covariance model used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0265503875098477,"Zhao et al. (2021), triple-collocation CRNS error SDs, CLM-ParFlow triplet",NA,NA,NA,NA,NA,NA,0.085,0.056,0.0493059522073849,13,0.01,0.04,"Zhao et al. (2021), conventional SMAP L3_SM_E_P--CRNS comparison"
"example_plattner_2006_swe_10m_eps0","Plattner et al. (2006), Vernagtferner SWE regression","SWE","mm","tier2_sensitivity","squared_correlation",0.643428317685816,0.414,NA,NA,125.54304441107,NA,NA,NA,3099.29544325603,NA,NA,26896,0,0,0.643428317685816,0.414,125.54304441107,0.88476742105681,23796.704556744,0.684046474980892,0.467919579933784,112.52448869799,NA,NA,NA,"Uses OLS R2=0.414 as squared-correlation proxy, SWE SD=164 mm, residual effective range=250 m, and a nugget-equivalent SD=40 mm. Measurement-error SD is either 0 or 20 mm and is treated as part of the nugget-equivalent component, not as an added variance term.","SWE, 10 m","10 m grid cell","local snow survey site","Tier 2 sens.","OLS R2, response SD, range, nugget-like term, two measurement-error decompositions","OLS R2 used as squared-correlation proxy; nugget split into measurement error and true microscale variability is heuristic.",NA,NA,NA,0.684046474980892,0.467919579933784,112.52448869799,12661.760556744,12661.760556744,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,10,5.64189583547756,NA,NA,NA,25296,"Exponential",NA,NA,NA,NA,NA,NA,NA,NA,NA,3255.92109182985,NA,NA,NA,NA,NA,NA,NA,NA,1600,NA,0.878944040309717,0.934538223757517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1600,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
