"row_id","Study","Variable","Tier","panel","value","example_label","example_label_text","support_class","support_m","prediction_support","reference_support","bound_noninformative","noninformative_endpoint","point_value","axis_range_value","panel_label","symbol_target"
1,"Biomass","Total biomass","Raw reference support","R2",0.438,"Biomass","Biomass","small support",30,"30 m map pixel","60 m field site; two 4 m x 4 m subplots",FALSE,FALSE,0.438,0.438,"R²","raw reference-support metric"
2,"BTS","BTS","Raw reference support","R2",0.451,"BTS","BTS","small support",30,"30 m grid cell","BTS point observation",FALSE,FALSE,0.451,0.451,"R²","raw reference-support metric"
3,"Meuse--Cd","Log cadmium","Raw reference support","R2",0.711,"Meuse--Cd","Meuse--Cd","medium support",100,"100 m grid cell","treated as point soil sample",FALSE,FALSE,0.711,0.711,"R²","raw reference-support metric"
4,"Meuse--Zn","Log zinc","Raw reference support","R2",0.654,"Meuse--Zn","Meuse--Zn","medium support",100,"100 m grid cell","treated as point soil sample",FALSE,FALSE,0.654,0.654,"R²","raw reference-support metric"
5,"NO2-DE","Annual mean NO2","Raw reference support","R2",0.308,"NO2-DE","NO2-DE","large support",2000,"2 km grid cell","monitoring station annual mean",FALSE,FALSE,0.308,0.308,"R²","raw reference-support metric"
6,"NO2-EU; 50/50 nugget split","Annual mean NO2","Raw reference support","R2",0.553,"NO2-EU; 50/50 nugget split","NO2-EU; 50/50 nugget split","medium support",100,"100 m grid cell","AirBase monitoring station",FALSE,FALSE,0.553,0.553,"R²","raw reference-support metric"
7,"NO2-EU; full nugget microscale","Annual mean NO2","Raw reference support","R2",0.553,"NO2-EU; full nugget microscale","NO2-EU; full nugget microscale","medium support",100,"100 m grid cell","AirBase monitoring station",FALSE,FALSE,0.553,0.553,"R²","raw reference-support metric"
10,"SWE, 10 m","SWE","Raw reference support","R2",0.414,"SWE, 10 m, q=0.000","SWE, 10 m, q=0.000","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,0.414,0.414,"R²","raw reference-support metric"
11,"SWE, 10 m","SWE","Raw reference support","R2",0.414,"SWE, 10 m, q=0.015","SWE, 10 m, q=0.015","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,0.414,0.414,"R²","raw reference-support metric"
12,"SWE, 100 m","SWE","Raw reference support","R2",0.414,"SWE, 100 m, q=0.000","SWE, 100 m, q=0.000","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,0.414,0.414,"R²","raw reference-support metric"
