"Study","Variable","Tier","Prediction support","Reference support","R2 definition","q_epsilon","lambda","R2_raw","R2_Tier1","R2_Tier2","RMSE_raw","RMSE_Tier1","RMSE_Tier2","R2_Tier2_raw","RMSE_Tier2_raw","R2_Tier2_noninformative","RMSE_Tier2_noninformative","Limitation"
"Biomass","Total biomass","Tier 1","30 m map pixel","60 m field site; two 4 m x 4 m subplots","predictive_skill","0.172","","0.438","0.528","","992.000","826.644","","","","FALSE","FALSE","Reference support is a field-site estimate from sparse subplots; response variance is reconstructed from a rounded RMSE/SD ratio; no semivariogram is available."
"BTS","BTS","Tier 2","30 m grid cell","BTS point observation","squared_correlation","0.012","0.806","0.451","0.456","0.560","1.817","1.803","1.577","0.560","1.577","FALSE","FALSE","Measurement-error variance is not Zermatt-specific; it is transferred from related Norway BTS data reported in the source study."
"Meuse--Cd","Log cadmium","Tier 3","100 m grid cell","treated as point soil sample","predictive_skill","0.000","0.575","0.711","0.711","","0.658","0.658","","1.236","","TRUE","TRUE","Bulk soil samples treated as point support for illustration."
"Meuse--Zn","Log zinc","Tier 3","100 m grid cell","treated as point soil sample","predictive_skill","0.000","0.806","0.654","0.654","0.812","0.424","0.424","0.281","0.812","0.281","FALSE","FALSE","Bulk soil samples treated as point support for illustration."
"NO2-DE","Annual mean NO2","Tier 3","2 km grid cell","monitoring station annual mean","squared_correlation","0.000","0.394","0.308","0.308","0.780","11.175","11.175","3.928","0.780","3.928","FALSE","FALSE","Illustrative validation model; annual-mean measurement error set to zero; fitted nugget not decomposed."
"NO2-EU; 50/50 nugget split","Annual mean NO2","Tier 2 sens.","100 m grid cell","AirBase monitoring station","predictive_skill","0.278","0.445","0.553","0.765","","9.530","5.866","","1.244","","TRUE","TRUE","Does not reproduce pan-European raster map; fitted nugget decomposition is a sensitivity assumption."
"NO2-EU; full nugget microscale","Annual mean NO2","Tier 2 sens.","100 m grid cell","AirBase monitoring station","predictive_skill","0.000","0.445","0.553","0.553","","9.530","9.530","","1.244","","TRUE","TRUE","Does not reproduce pan-European raster map; fitted nugget decomposition is a sensitivity assumption."
"S1-SM","Soil moisture","Reported SRE","Sentinel-1 soil moisture product, approximately 1 km","in situ point-scale soil moisture at 0.05 m depth","not_used_reported_sre_example","","","","","","0.088","","0.070","","",NA,NA,"Direct SRE example; not a covariance-model post-hoc adjustment."
"SMAP-CRNS","Soil moisture","Partial Tier 1","SMAP 9 km pixel","CRNS footprint",NA,"","","","","","0.056","0.049","","","",NA,NA,"Reference variance not tabulated; only ubRMSD can be corrected."
"SWE, 10 m","SWE","Tier 2 sens.","10 m grid cell","local snow survey site","squared_correlation","0.000","0.885","0.414","0.414","0.468","125.543","125.543","112.524","0.468","112.524","FALSE","FALSE","OLS R2 used as squared-correlation proxy; nugget split into measurement error and true microscale variability is heuristic."
"SWE, 10 m","SWE","Tier 2 sens.","10 m grid cell","local snow survey site","squared_correlation","0.015","0.885","0.414","0.420","0.468","125.543","123.940","112.524","0.468","112.524","FALSE","FALSE","OLS R2 used as squared-correlation proxy; nugget split into measurement error and true microscale variability is heuristic."
"SWE, 100 m","SWE","Tier 2 sens.","100 m grid cell","local snow survey site","squared_correlation","0.000","0.522","0.414","0.414","0.794","125.543","125.543","53.810","0.794","53.810","FALSE","FALSE","OLS R2 used as squared-correlation proxy; nugget split into measurement error and true microscale variability is heuristic."
"SWE, 100 m","SWE","Tier 2 sens.","100 m grid cell","local snow survey site","squared_correlation","0.015","0.522","0.414","0.420","0.794","125.543","123.940","53.810","0.794","53.810","FALSE","FALSE","OLS R2 used as squared-correlation proxy; nugget split into measurement error and true microscale variability is heuristic."
