"scenario_index","scenario_id","scenario_type","q_epsilon","range_block_ratio","microscale","true_nugget","partial_sill","true_sill","sigma2_eps","observed_nugget","observed_sill","spherical_range_block_units","spherical_range_fine_units","target_r2_block","prediction_relation"
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",0,2,"moderate",0.2,0.8,1,0,0.2,1,2,10,0.3,"block_targeted"
2,"sc002_q010_rb02_micro-moderate_r230_block_targeted","core",0.1,2,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,2,10,0.3,"block_targeted"
3,"sc003_q025_rb02_micro-moderate_r230_block_targeted","core",0.25,2,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,2,10,0.3,"block_targeted"
4,"sc004_q040_rb02_micro-moderate_r230_block_targeted","core",0.4,2,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,2,10,0.3,"block_targeted"
5,"sc005_q000_rb10_micro-moderate_r230_block_targeted","core",0,10,"moderate",0.2,0.8,1,0,0.2,1,10,50,0.3,"block_targeted"
6,"sc006_q010_rb10_micro-moderate_r230_block_targeted","core",0.1,10,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,10,50,0.3,"block_targeted"
7,"sc007_q025_rb10_micro-moderate_r230_block_targeted","core",0.25,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,10,50,0.3,"block_targeted"
8,"sc008_q040_rb10_micro-moderate_r230_block_targeted","core",0.4,10,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,10,50,0.3,"block_targeted"
9,"sc009_q000_rb50_micro-moderate_r230_block_targeted","core",0,50,"moderate",0.2,0.8,1,0,0.2,1,50,250,0.3,"block_targeted"
10,"sc010_q010_rb50_micro-moderate_r230_block_targeted","core",0.1,50,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,50,250,0.3,"block_targeted"
11,"sc011_q025_rb50_micro-moderate_r230_block_targeted","core",0.25,50,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,250,0.3,"block_targeted"
12,"sc012_q040_rb50_micro-moderate_r230_block_targeted","core",0.4,50,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,50,250,0.3,"block_targeted"
13,"sc013_q000_rb02_micro-moderate_r260_block_targeted","core",0,2,"moderate",0.2,0.8,1,0,0.2,1,2,10,0.6,"block_targeted"
14,"sc014_q010_rb02_micro-moderate_r260_block_targeted","core",0.1,2,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,2,10,0.6,"block_targeted"
15,"sc015_q025_rb02_micro-moderate_r260_block_targeted","core",0.25,2,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,2,10,0.6,"block_targeted"
16,"sc016_q040_rb02_micro-moderate_r260_block_targeted","core",0.4,2,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,2,10,0.6,"block_targeted"
17,"sc017_q000_rb10_micro-moderate_r260_block_targeted","core",0,10,"moderate",0.2,0.8,1,0,0.2,1,10,50,0.6,"block_targeted"
18,"sc018_q010_rb10_micro-moderate_r260_block_targeted","core",0.1,10,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,10,50,0.6,"block_targeted"
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",0.25,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,10,50,0.6,"block_targeted"
20,"sc020_q040_rb10_micro-moderate_r260_block_targeted","core",0.4,10,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,10,50,0.6,"block_targeted"
21,"sc021_q000_rb50_micro-moderate_r260_block_targeted","core",0,50,"moderate",0.2,0.8,1,0,0.2,1,50,250,0.6,"block_targeted"
22,"sc022_q010_rb50_micro-moderate_r260_block_targeted","core",0.1,50,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,50,250,0.6,"block_targeted"
23,"sc023_q025_rb50_micro-moderate_r260_block_targeted","core",0.25,50,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,250,0.6,"block_targeted"
24,"sc024_q040_rb50_micro-moderate_r260_block_targeted","core",0.4,50,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,50,250,0.6,"block_targeted"
25,"sc025_q000_rb02_micro-moderate_r280_block_targeted","core",0,2,"moderate",0.2,0.8,1,0,0.2,1,2,10,0.8,"block_targeted"
26,"sc026_q010_rb02_micro-moderate_r280_block_targeted","core",0.1,2,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,2,10,0.8,"block_targeted"
27,"sc027_q025_rb02_micro-moderate_r280_block_targeted","core",0.25,2,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,2,10,0.8,"block_targeted"
28,"sc028_q040_rb02_micro-moderate_r280_block_targeted","core",0.4,2,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,2,10,0.8,"block_targeted"
29,"sc029_q000_rb10_micro-moderate_r280_block_targeted","core",0,10,"moderate",0.2,0.8,1,0,0.2,1,10,50,0.8,"block_targeted"
30,"sc030_q010_rb10_micro-moderate_r280_block_targeted","core",0.1,10,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,10,50,0.8,"block_targeted"
31,"sc031_q025_rb10_micro-moderate_r280_block_targeted","core",0.25,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,10,50,0.8,"block_targeted"
32,"sc032_q040_rb10_micro-moderate_r280_block_targeted","core",0.4,10,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,10,50,0.8,"block_targeted"
33,"sc033_q000_rb50_micro-moderate_r280_block_targeted","core",0,50,"moderate",0.2,0.8,1,0,0.2,1,50,250,0.8,"block_targeted"
34,"sc034_q010_rb50_micro-moderate_r280_block_targeted","core",0.1,50,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,50,250,0.8,"block_targeted"
35,"sc035_q025_rb50_micro-moderate_r280_block_targeted","core",0.25,50,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,250,0.8,"block_targeted"
36,"sc036_q040_rb50_micro-moderate_r280_block_targeted","core",0.4,50,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,50,250,0.8,"block_targeted"
37,"sc037_q000_rb02_micro-none_r260_block_targeted","targeted_microscale",0,2,"none",0,1,1,0,0,1,2,10,0.6,"block_targeted"
38,"sc038_q025_rb02_micro-none_r260_block_targeted","targeted_microscale",0.25,2,"none",0,1,1,0.333333333333333,0.333333333333333,1.33333333333333,2,10,0.6,"block_targeted"
39,"sc039_q000_rb02_micro-large_r260_block_targeted","targeted_microscale",0,2,"large",0.5,0.5,1,0,0.5,1,2,10,0.6,"block_targeted"
40,"sc040_q025_rb02_micro-large_r260_block_targeted","targeted_microscale",0.25,2,"large",0.5,0.5,1,0.333333333333333,0.833333333333333,1.33333333333333,2,10,0.6,"block_targeted"
41,"sc041_q010_rb02_micro-moderate_r260_subgrid_informed","failure_mode",0.1,2,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,2,10,0.6,"subgrid_informed"
42,"sc042_q025_rb02_micro-moderate_r260_subgrid_informed","failure_mode",0.25,2,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,2,10,0.6,"subgrid_informed"
