"scenario_id","scenario_type","q_epsilon_target","microscale","true_nugget","partial_sill","true_sill","sigma2_eps","observed_nugget","observed_sill","spherical_range_block_units","range_block_ratio","target_r2_block","prediction_relation","lambda_theoretical_mean","sigma2_delta_theoretical_mean"
"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,2,2,0.3,"block_targeted",0.505555046040223,0.494444953959777
"sc002_q010_rb02_micro-moderate_r230_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,2,2,0.3,"block_targeted",0.454999541436201,0.494444953959777
"sc003_q025_rb02_micro-moderate_r230_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,2,2,0.3,"block_targeted",0.379166284530167,0.494444953959777
"sc004_q040_rb02_micro-moderate_r230_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,2,2,0.3,"block_targeted",0.303333027624134,0.494444953959777
"sc005_q000_rb10_micro-moderate_r230_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,10,10,0.3,"block_targeted",0.738948543220739,0.261051456779261
"sc006_q010_rb10_micro-moderate_r230_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,10,10,0.3,"block_targeted",0.665053688898665,0.261051456779261
"sc007_q025_rb10_micro-moderate_r230_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,10,10,0.3,"block_targeted",0.554211407415554,0.261051456779261
"sc008_q040_rb10_micro-moderate_r230_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,10,10,0.3,"block_targeted",0.443369125932443,0.261051456779261
"sc009_q000_rb50_micro-moderate_r230_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,50,50,0.3,"block_targeted",0.787772408916249,0.212227591083751
"sc010_q010_rb50_micro-moderate_r230_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,50,50,0.3,"block_targeted",0.708995168024624,0.212227591083751
"sc011_q025_rb50_micro-moderate_r230_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,50,0.3,"block_targeted",0.590829306687187,0.212227591083751
"sc012_q040_rb50_micro-moderate_r230_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,50,50,0.3,"block_targeted",0.47266344534975,0.212227591083751
"sc013_q000_rb02_micro-moderate_r260_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,2,2,0.6,"block_targeted",0.505555046040223,0.494444953959777
"sc014_q010_rb02_micro-moderate_r260_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,2,2,0.6,"block_targeted",0.454999541436201,0.494444953959777
"sc015_q025_rb02_micro-moderate_r260_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,2,2,0.6,"block_targeted",0.379166284530167,0.494444953959777
"sc016_q040_rb02_micro-moderate_r260_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,2,2,0.6,"block_targeted",0.303333027624134,0.494444953959777
"sc017_q000_rb10_micro-moderate_r260_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,10,10,0.6,"block_targeted",0.738948543220739,0.261051456779261
"sc018_q010_rb10_micro-moderate_r260_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,10,10,0.6,"block_targeted",0.665053688898665,0.261051456779261
"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,10,10,0.6,"block_targeted",0.554211407415554,0.261051456779261
"sc020_q040_rb10_micro-moderate_r260_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,10,10,0.6,"block_targeted",0.443369125932443,0.261051456779261
"sc021_q000_rb50_micro-moderate_r260_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,50,50,0.6,"block_targeted",0.787772408916249,0.212227591083751
"sc022_q010_rb50_micro-moderate_r260_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,50,50,0.6,"block_targeted",0.708995168024624,0.212227591083751
"sc023_q025_rb50_micro-moderate_r260_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,50,0.6,"block_targeted",0.590829306687187,0.212227591083751
"sc024_q040_rb50_micro-moderate_r260_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,50,50,0.6,"block_targeted",0.47266344534975,0.212227591083751
"sc025_q000_rb02_micro-moderate_r280_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,2,2,0.8,"block_targeted",0.505555046040223,0.494444953959777
"sc026_q010_rb02_micro-moderate_r280_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,2,2,0.8,"block_targeted",0.454999541436201,0.494444953959777
"sc027_q025_rb02_micro-moderate_r280_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,2,2,0.8,"block_targeted",0.379166284530167,0.494444953959777
"sc028_q040_rb02_micro-moderate_r280_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,2,2,0.8,"block_targeted",0.303333027624134,0.494444953959777
"sc029_q000_rb10_micro-moderate_r280_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,10,10,0.8,"block_targeted",0.738948543220739,0.261051456779261
"sc030_q010_rb10_micro-moderate_r280_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,10,10,0.8,"block_targeted",0.665053688898665,0.261051456779261
"sc031_q025_rb10_micro-moderate_r280_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,10,10,0.8,"block_targeted",0.554211407415554,0.261051456779261
"sc032_q040_rb10_micro-moderate_r280_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,10,10,0.8,"block_targeted",0.443369125932443,0.261051456779261
"sc033_q000_rb50_micro-moderate_r280_block_targeted","core",0,"moderate",0.2,0.8,1,0,0.2,1,50,50,0.8,"block_targeted",0.787772408916249,0.212227591083751
"sc034_q010_rb50_micro-moderate_r280_block_targeted","core",0.1,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,50,50,0.8,"block_targeted",0.708995168024624,0.212227591083751
"sc035_q025_rb50_micro-moderate_r280_block_targeted","core",0.25,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,50,0.8,"block_targeted",0.590829306687187,0.212227591083751
"sc036_q040_rb50_micro-moderate_r280_block_targeted","core",0.4,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,50,50,0.8,"block_targeted",0.47266344534975,0.212227591083751
"sc037_q000_rb02_micro-none_r260_block_targeted","targeted_microscale",0,"none",0,1,1,0,0,1,2,2,0.6,"block_targeted",0.631943807550279,0.368056192449721
