"scenario_index","scenario_id","scenario_type","q_epsilon_target","range_block_ratio","microscale","true_nugget","partial_sill","true_sill","sigma2_eps","observed_nugget","observed_sill","spherical_range","spherical_range_block_units","target_r2_block","prediction_relation","n_reps","n_sample","n_blocks_side","fine_per_block","q_epsilon_target_mean","q_epsilon_target_sd","q_epsilon_target_q025","q_epsilon_target_q975","q_epsilon_theoretical_mean","q_epsilon_theoretical_sd","q_epsilon_theoretical_q025","q_epsilon_theoretical_q975","q_epsilon_empirical_mean","q_epsilon_empirical_sd","q_epsilon_empirical_q025","q_epsilon_empirical_q975","range_block_ratio_mean","range_block_ratio_sd","range_block_ratio_q025","range_block_ratio_q975","true_nugget_mean","true_nugget_sd","true_nugget_q025","true_nugget_q975","partial_sill_mean","partial_sill_sd","partial_sill_q025","partial_sill_q975","true_sill_mean","true_sill_sd","true_sill_q025","true_sill_q975","sigma2_eps_mean","sigma2_eps_sd","sigma2_eps_q025","sigma2_eps_q975","observed_nugget_mean","observed_nugget_sd","observed_nugget_q025","observed_nugget_q975","observed_sill_mean","observed_sill_sd","observed_sill_q025","observed_sill_q975","spherical_range_mean","spherical_range_sd","spherical_range_q025","spherical_range_q975","spherical_range_block_units_mean","spherical_range_block_units_sd","spherical_range_block_units_q025","spherical_range_block_units_q975","target_r2_block_mean","target_r2_block_sd","target_r2_block_q025","target_r2_block_q975","sigma2_obs_theoretical_mean","sigma2_obs_theoretical_sd","sigma2_obs_theoretical_q025","sigma2_obs_theoretical_q975","sigma2_obs_empirical_mean","sigma2_obs_empirical_sd","sigma2_obs_empirical_q025","sigma2_obs_empirical_q975","sigma2_delta_theoretical_mean","sigma2_delta_theoretical_sd","sigma2_delta_theoretical_q025","sigma2_delta_theoretical_q975","sigma2_delta_empirical_mean","sigma2_delta_empirical_sd","sigma2_delta_empirical_q025","sigma2_delta_empirical_q975","cov_point_block_theoretical_mean","cov_point_block_theoretical_sd","cov_point_block_theoretical_q025","cov_point_block_theoretical_q975","var_block_theoretical_mean","var_block_theoretical_sd","var_block_theoretical_q025","var_block_theoretical_q975","lambda_theoretical_mean","lambda_theoretical_sd","lambda_theoretical_q025","lambda_theoretical_q975","lambda_empirical_mean","lambda_empirical_sd","lambda_empirical_q025","lambda_empirical_q975","n_negative_eigenvalues_mean","n_negative_eigenvalues_sd","n_negative_eigenvalues_q025","n_negative_eigenvalues_q975","r_obs_mean","r_obs_sd","r_obs_q025","r_obs_q975","R2_obs_mean","R2_obs_sd","R2_obs_q025","R2_obs_q975","RMSE_obs_mean","RMSE_obs_sd","RMSE_obs_q025","RMSE_obs_q975","r_true_point_mean","r_true_point_sd","r_true_point_q025","r_true_point_q975","R2_true_point_mean","R2_true_point_sd","R2_true_point_q025","R2_true_point_q975","RMSE_true_point_mean","RMSE_true_point_sd","RMSE_true_point_q025","RMSE_true_point_q975","r_block_true_mean","r_block_true_sd","r_block_true_q025","r_block_true_q975","R2_block_true_mean","R2_block_true_sd","R2_block_true_q025","R2_block_true_q975","RMSE_block_true_mean","RMSE_block_true_sd","RMSE_block_true_q025","RMSE_block_true_q975","r_ME_mean","r_ME_sd","r_ME_q025","r_ME_q975","R2_ME_mean","R2_ME_sd","R2_ME_q025","R2_ME_q975","RMSE_ME_mean","RMSE_ME_sd","RMSE_ME_q025","RMSE_ME_q975","r_B_hat_mean","r_B_hat_sd","r_B_hat_q025","r_B_hat_q975","R2_B_hat_mean","R2_B_hat_sd","R2_B_hat_q025","R2_B_hat_q975","RMSE_B_hat_mean","RMSE_B_hat_sd","RMSE_B_hat_q025","RMSE_B_hat_q975","R2_obs_bias_mean","R2_ME_bias_mean","R2_B_hat_bias_mean","RMSE_obs_bias_mean","RMSE_ME_bias_mean","RMSE_B_hat_bias_mean","lower_value_hold_rate"
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",200,500,40,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0,0,0,0,0.2,0,0.2,0.2,1,0,1,1,10,0,10,10,2,0,2,2,0.3,0,0.3,0.3,1,0,1,1,1.00088427450438,0.0614689910731942,0.883154322485422,1.1186447691531,0.494444953959777,0,0.494444953959777,0.494444953959777,0.494960049828638,0.031883332771268,0.433771738133603,0.555396423852693,NA,NA,NA,NA,0.505555046040223,0,0.505555046040223,0.505555046040223,0.505555046040223,0,0.505555046040223,0.505555046040223,0.504910704526084,0.0240031645244862,0.457278649710776,0.548384874057728,0,0,0,0,0.389186175332957,0.0274419699287039,0.338131790583517,0.44392176791471,0.152215175475296,0.0214385989006408,0.114333171323504,0.197066572310859,0.974796459420509,0.0286695560043137,0.925854469043102,1.03467470337172,0.389186175332957,0.0274419699287039,0.338131790583517,0.44392176791471,0.152215175475296,0.0214385989006408,0.114333171323504,0.197066572310859,0.974796459420509,0.0286695560043137,0.925854469043102,1.03467470337172,0.547722557505166,6.67805420451753e-17,0.547722557505166,0.547722557505166,0.3,8.37534676006613e-17,0.3,0.3,0.674576908977966,0.0205804842110726,0.639766702840009,0.713340584205798,0.389186175332957,0.0274419699287039,0.338131790583517,0.44392176791471,0.152215175475296,0.0214385989006408,0.114333171323504,0.197066572310859,0.974796459420509,0.0286695560043137,0.925854469043102,1.03467470337172,0.547360155355916,0.038595001249973,0.475556124947727,0.624341518924174,0.301085265922131,0.0424060625416744,0.226153753619952,0.389802404019878,0.674463995734311,0.0413264430582556,0.60229653184429,0.759016987703848,-0.147784824524704,-0.147784824524704,0.00108526592213065,0.300219550442543,0.300219550442543,-0.000112913243655477,1
2,"sc002_q010_rb02_micro-moderate_r230_block_targeted","core",0.1,2,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,10,2,0.3,"block_targeted",200,500,40,5,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.100323511240613,0.00619360337803931,0.0876113797277035,0.111970543244297,2,0,2,2,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0.111111111111111,0,0.111111111111111,0.111111111111111,0.311111111111111,0,0.311111111111111,0.311111111111111,1.11111111111111,0,1.11111111111111,1.11111111111111,10,0,10,10,2,0,2,2,0.3,0,0.3,0.3,1.11111111111111,0,1.11111111111111,1.11111111111111,1.11173949062704,0.0688347464050197,0.992326662870468,1.26822734433667,0.494444953959777,0,0.494444953959777,0.494444953959777,0.495922582126968,0.032542209332756,0.434679427069954,0.563735627202273,NA,NA,NA,NA,0.505555046040223,0,0.505555046040223,0.505555046040223,0.454999541436201,0,0.454999541436201,0.454999541436201,0.454292894003376,0.0201285147695734,0.414369194161624,0.489017486952235,0,0,0,0,0.368161007565696,0.0304317869160374,0.307178421959044,0.417706088372753,0.136463990678417,0.0222665043072602,0.0943588188499544,0.174479657001581,1.0311173387298,0.0305658579693296,0.972152438887049,1.08866379078274,0.388615873460184,0.0289734451198045,0.334182542107904,0.443325491117014,0.151857560324721,0.022548970450722,0.111677973381846,0.196537629844074,0.975868170350945,0.0292811751426028,0.923878042043706,1.03349095390344,0.547722557505166,7.50765639218203e-17,0.547722557505166,0.547722557505166,0.3,9.70298780565961e-17,0.3,0.3,0.675493329652867,0.016963103797705,0.643036214839136,0.707697730043455,0.388075776523361,0.0320779199745298,0.323794487148954,0.440300877259159,0.151626656309352,0.0247405603414002,0.104843132055505,0.193866285557312,0.975696300370646,0.03230173192895,0.913219167223347,1.03637721797387,0.545798465595462,0.0451151052468189,0.455391820219756,0.619249017192699,0.299921160904185,0.0489374214245936,0.207382228457004,0.383472160105565,0.675577266678494,0.0467201464144748,0.582687068405813,0.761336181400497,-0.163536009321583,-0.148373343690648,-7.88390958152418e-05,0.355624009076932,0.300202970717779,8.39370256271454e-05,1
3,"sc003_q025_rb02_micro-moderate_r230_block_targeted","core",0.25,2,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,10,2,0.3,"block_targeted",200,500,40,5,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.251376607919069,0.0149674725996212,0.226589538708852,0.280632624278135,2,0,2,2,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0.333333333333333,0,0.333333333333333,0.333333333333333,0.533333333333333,0,0.533333333333333,0.533333333333333,1.33333333333333,0,1.33333333333333,1.33333333333333,10,0,10,10,2,0,2,2,0.3,0,0.3,0.3,1.33333333333333,0,1.33333333333333,1.33333333333333,1.33070767997327,0.0791292338448141,1.18779281397168,1.47108907916357,0.494444953959777,0,0.494444953959777,0.494444953959777,0.494783410077026,0.0339964434813133,0.423556320796442,0.561140404629271,NA,NA,NA,NA,0.505555046040223,0,0.505555046040223,0.505555046040223,0.379166284530167,0,0.379166284530167,0.379166284530167,0.375550844267273,0.0208994760018248,0.33637415714367,0.420433170004923,0,0,0,0,0.333930036869532,0.033539452654087,0.262784628460217,0.386871197785221,0.112628539933601,0.0219929527020696,0.0690558555995644,0.149669324614986,1.13333611295553,0.0350051374886545,1.06960141120019,1.202728916815,0.387750161488374,0.0291553296185639,0.322238085075638,0.443355544221795,0.151195970813202,0.0222772387233418,0.1038373857045,0.196564142546852,0.972194415483587,0.0282848671246433,0.911996447206606,1.03164705646744,0.547722557505166,8.17891263785789e-17,0.547722557505166,0.547722557505166,0.3,1.02840468815847e-16,0.3,0.3,0.672702616355455,0.0180049664202483,0.638604345085841,0.708709780432452,0.385589193354252,0.0387280240366197,0.303437551960804,0.446720380366021,0.150171386578135,0.0293239369360928,0.0920744741327525,0.199559099486648,0.975033444721001,0.0406779992350813,0.900396485568258,1.05509380963023,0.542301279323148,0.0544679605722796,0.42676137054455,0.628277550168912,0.297042602490782,0.0580034501994858,0.18212551700142,0.394732682523301,0.674112272478247,0.0590062988086321,0.562377809309879,0.786623191475064,-0.187371460066399,-0.149828613421865,-0.00295739750921764,0.460633496600074,0.302330828365545,0.00140965612279154,1
4,"sc004_q040_rb02_micro-moderate_r230_block_targeted","core",0.4,2,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,10,2,0.3,"block_targeted",200,500,40,5,0.4,0,0.4,0.4,0.4,0,0.4,0.4,0.398952954892113,0.0266764446926097,0.3439324741256,0.449863768783676,2,0,2,2,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0.666666666666667,0,0.666666666666667,0.666666666666667,0.866666666666667,0,0.866666666666667,0.866666666666667,1.66666666666667,0,1.66666666666667,1.66666666666667,10,0,10,10,2,0,2,2,0.3,0,0.3,0.3,1.66666666666667,0,1.66666666666667,1.66666666666667,1.67859683410157,0.114008423766982,1.48193285666607,1.93836505312298,0.494444953959777,0,0.494444953959777,0.494444953959777,0.496784834967764,0.0337901182040114,0.4392572862465,0.566181019751175,NA,NA,NA,NA,0.505555046040223,0,0.505555046040223,0.505555046040223,0.303333027624134,0,0.303333027624134,0.303333027624134,0.305348902678219,0.0199210975304969,0.264804058733429,0.339783936764046,0,0,0,0,0.302505389902515,0.037348181355133,0.234415466577252,0.368976764491645,0.0928974231373559,0.0225741556919337,0.0549516417822545,0.136144399591511,1.27443021742445,0.0414692353803768,1.19684439063032,1.35297546056867,0.387987215435186,0.0299306724196186,0.335607614111237,0.458318987829627,0.151425445266883,0.0235614159588252,0.112632672642551,0.210056333695373,0.978530792796444,0.0314253221750307,0.918793246365416,1.03653305356889,0.547722557505166,7.987342434303e-17,0.547722557505166,0.547722557505166,0.3,1.01017450439396e-16,0.3,0.3,0.676237560849252,0.0187865277212763,0.638249369706252,0.711918387208133,0.390532779076807,0.0482162947998549,0.302629066049046,0.476346954671213,0.15482903856226,0.0376235928198894,0.0915860696370907,0.226907332652519,0.977908777571228,0.0540912514186648,0.87508267282192,1.07883081260805,0.549254049027257,0.0678124771255211,0.425624297846929,0.669945027952469,0.306255549766467,0.0744203684931591,0.181159441201194,0.448828143304628,0.677207486316813,0.0786946131630459,0.520887857085211,0.818187601995725,-0.207102576862644,-0.14517096143774,0.00625554976646669,0.598192656575201,0.301671216721976,0.000969925467560917,1
5,"sc005_q000_rb10_micro-moderate_r230_block_targeted","core",0,10,"moderate",0.2,0.8,1,0,0.2,1,50,10,0.3,"block_targeted",200,500,40,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0,0,0,0,0.2,0,0.2,0.2,1,0,1,1,50,0,50,50,10,0,10,10,0.3,0,0.3,0.3,1,0,1,1,1.00212558044724,0.0554582395558077,0.897161493964867,1.11142827760283,0.261051456779261,0,0.261051456779261,0.261051456779261,0.265503571038592,0.0199239532150797,0.229116134382023,0.302781311089797,NA,NA,NA,NA,0.738948543220739,0,0.738948543220739,0.738948543220739,0.738948543220739,0,0.738948543220739,0.738948543220739,0.734869477351982,0.0203576426848612,0.693520669750978,0.7725556391859,0,0,0,0,0.470805132820722,0.0205507657401103,0.430091565351336,0.505687435790262,0.22207769539298,0.0192513039915699,0.184978784124025,0.255719883226824,0.962939265143043,0.0249987092934568,0.920736207279696,1.0098639533285,0.470805132820722,0.0205507657401103,0.430091565351336,0.505687435790262,0.22207769539298,0.0192513039915699,0.184978784124025,0.255719883226824,0.962939265143043,0.0249987092934568,0.920736207279696,1.0098639533285,0.547722557505166,6.77016964842329e-17,0.547722557505166,0.547722557505166,0.3,8.54012346800413e-17,0.3,0.3,0.814803867973093,0.0216400552165148,0.773531660586919,0.853302825645464,0.470805132820722,0.0205507657401103,0.430091565351336,0.505687435790262,0.22207769539298,0.0192513039915699,0.184978784124025,0.255719883226824,0.962939265143043,0.0249987092934568,0.920736207279696,1.0098639533285,0.547689090606921,0.0239067703702433,0.500326869619491,0.588267783275799,0.300532015971024,0.0260522930428447,0.250327016435795,0.346059120858752,0.816061519465677,0.0295013637592867,0.765965863132136,0.871076200532749,-0.0779223046070201,-0.0779223046070201,0.000532015971023814,0.148135397169949,0.148135397169949,0.00125765149258339,1
6,"sc006_q010_rb10_micro-moderate_r230_block_targeted","core",0.1,10,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,50,10,0.3,"block_targeted",200,500,40,5,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.100250103137876,0.00575297497575459,0.0893528197989095,0.111381800282717,10,0,10,10,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0.111111111111111,0,0.111111111111111,0.111111111111111,0.311111111111111,0,0.311111111111111,0.311111111111111,1.11111111111111,0,1.11111111111111,1.11111111111111,50,0,50,50,10,0,10,10,0.3,0,0.3,0.3,1.11111111111111,0,1.11111111111111,1.11111111111111,1.1120009928598,0.06431988295834,0.997569769234439,1.24350985017418,0.261051456779261,0,0.261051456779261,0.261051456779261,0.267352205464075,0.0197727165401631,0.229904204251164,0.30604833966004,NA,NA,NA,NA,0.738948543220739,0,0.738948543220739,0.738948543220739,0.665053688898665,0,0.665053688898665,0.665053688898665,0.658289197787358,0.0219367605364421,0.616646939214731,0.70101406061269,0,0,0,0,0.442815348054383,0.0235387235110066,0.400822074007178,0.491759871144371,0.19663673361953,0.0208267608568121,0.16065909065357,0.241827782260464,1.02083210220684,0.0303984102353667,0.963328980117586,1.08206670122018,0.467438182236163,0.0205223665498087,0.426486862963845,0.507057457472628,0.218917515903409,0.0190684699112044,0.181891066596359,0.257107269418661,0.963364022794012,0.0285594291032938,0.909332627318961,1.0255752744638,0.547722557505166,6.53744784250994e-17,0.547722557505166,0.547722557505166,0.3,8.49467278092754e-17,0.3,0.3,0.811935212644064,0.0221606793179666,0.766269034200096,0.855982243728757,0.466768360910687,0.0248119931692455,0.422503563445086,0.518360418229041,0.218485259577255,0.0231408453964579,0.178510100726189,0.26869753584496,0.964820187212623,0.0321510123949631,0.903820555160241,1.02944508725513,0.542993101157638,0.0288638696302911,0.49149972315518,0.60301030357414,0.295670465259973,0.0313159090829214,0.241573114073877,0.363621443346827,0.818185874292059,0.0378695346019006,0.745546828031472,0.893703289095056,-0.10336326638047,-0.0815147404227448,-0.00432953474002701,0.208896889562772,0.152884974568558,0.00625066164799415,1
7,"sc007_q025_rb10_micro-moderate_r230_block_targeted","core",0.25,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.3,"block_targeted",200,500,40,5,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25037679826766,0.0151648866571978,0.225668954867507,0.279083617201998,10,0,10,10,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0.333333333333333,0,0.333333333333333,0.333333333333333,0.533333333333333,0,0.533333333333333,0.533333333333333,1.33333333333333,0,1.33333333333333,1.33333333333333,50,0,50,50,10,0,10,10,0.3,0,0.3,0.3,1.33333333333333,0,1.33333333333333,1.33333333333333,1.33613053063061,0.0799253251452366,1.19438561109735,1.47709019731189,0.261051456779261,0,0.261051456779261,0.261051456779261,0.262669354490978,0.0208695818508244,0.225051392561207,0.302671120591214,NA,NA,NA,NA,0.738948543220739,0,0.738948543220739,0.738948543220739,0.554211407415554,0,0.554211407415554,0.554211407415554,0.55351450231964,0.021725136624296,0.511223104393011,0.595219113890852,0,0,0,0,0.406229062105986,0.0274589520513334,0.358630428437831,0.454416259240653,0.165772274977028,0.0221665232329439,0.128616266538903,0.206494140914078,1.12472982210715,0.036535051960661,1.05294537124175,1.19889110379388,0.472197340148561,0.0205834966409271,0.430941013456851,0.511813038153656,0.223391889975673,0.0193883422468104,0.185710648985064,0.261953231235486,0.962177877289599,0.0302627004097277,0.903537182003171,1.03321298323245,0.547722557505166,6.77016964842329e-17,0.547722557505166,0.547722557505166,0.3,8.66611734233853e-17,0.3,0.3,0.816271706267546,0.0217486641400166,0.771792238623236,0.853784266997185,0.469072916719081,0.0317068667170047,0.414110748796346,0.524714699193467,0.221029699969371,0.0295553643105919,0.171488355385205,0.275325521218771,0.964990528234166,0.0425949225964705,0.880545443265938,1.05071713833599,0.545673998172057,0.0368846976968787,0.48173633549825,0.610402258589619,0.299113790800647,0.0399965120463917,0.232070767252298,0.372590924963128,0.818195566694884,0.0502909448383986,0.717152868573197,0.918125805011917,-0.134227725022972,-0.0789703000306292,-0.000886209199353227,0.3084581158396,0.14871882196662,0.00192386042733794,0.995
8,"sc008_q040_rb10_micro-moderate_r230_block_targeted","core",0.4,10,"moderate",0.2,0.8,1,0.666666666666667,0.866666666666667,1.66666666666667,50,10,0.3,"block_targeted",200,500,40,5,0.4,0,0.4,0.4,0.4,0,0.4,0.4,0.40178278127865,0.0241660827258116,0.359158197550693,0.449630040376407,10,0,10,10,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0.666666666666667,0,0.666666666666667,0.666666666666667,0.866666666666667,0,0.866666666666667,0.866666666666667,1.66666666666667,0,1.66666666666667,1.66666666666667,50,0,50,50,10,0,10,10,0.3,0,0.3,0.3,1.66666666666667,0,1.66666666666667,1.66666666666667,1.66522419656584,0.0997811372031791,1.48270046671508,1.85619231557835,0.261051456779261,0,0.261051456779261,0.261051456779261,0.265053504986543,0.0213120805256997,0.223670130472908,0.305768652727723,NA,NA,NA,NA,0.738948543220739,0,0.738948543220739,0.738948543220739,0.443369125932443,0,0.443369125932443,0.443369125932443,0.441868485261662,0.0227125839460517,0.397070659076775,0.484237096348125,0,0,0,0,0.363945892932498,0.031465942051614,0.30005441360961,0.424900086381096,0.133441767964083,0.0229235006776976,0.0900327140229036,0.180540127789445,1.26157125174633,0.0398975207649058,1.18332824196815,1.33223598934217,0.469303338672216,0.019897575187587,0.432578781664985,0.509059630115138,0.220639557619743,0.0187112185702537,0.18712441052907,0.25914190453067,0.963515697757137,0.0269318756999619,0.910704556314585,1.0129753329393,0.547722557505166,7.21312294489842e-17,0.547722557505166,0.547722557505166,0.3,9.23696919710849e-17,0.3,0.3,0.814208056599794,0.0219716015314696,0.768478400350708,0.853102975693768,0.46985212741605,0.0406223565128762,0.387368582288683,0.548543652785359,0.222402946606804,0.0382058344628294,0.150054523371506,0.300900212982408,0.961116854156117,0.0524150648255444,0.85650397629251,1.0527041411957,0.546580456424662,0.0472561149950744,0.450627089157434,0.638122555190182,0.300972170047797,0.0517029701368753,0.203064915342396,0.407200495545903,0.813385826413911,0.062052419712473,0.68742098049942,0.920399101721881,-0.166558232035917,-0.0775970533931955,0.000972170047797538,0.447363195146539,0.146908797556323,-0.000822230185883122,0.97
9,"sc009_q000_rb50_micro-moderate_r230_block_targeted","core",0,50,"moderate",0.2,0.8,1,0,0.2,1,250,50,0.3,"block_targeted",200,500,40,5,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0,0,0,0,0.2,0,0.2,0.2,1,0,1,1,250,0,250,250,50,0,50,50,0.3,0,0.3,0.3,1,0,1,1,0.999785382976627,0.0584380225518799,0.890752885887867,1.11370704537991,0.212227591083751,0,0.212227591083751,0.212227591083751,0.242295274753717,0.025529568205342,0.199094848955851,0.295767460594154,NA,NA,NA,NA,0.787772408916249,0,0.787772408916249,0.787772408916249,0.787772408916249,0,0.787772408916249,0.787772408916249,0.757294860012969,0.0267658736334228,0.691836467157561,0.799848935135425,802,0,802,802,0.476910420481052,0.0210246589624111,0.435078192044188,0.519231904116675,0.227883375266477,0.0201263043661807,0.189293033493136,0.26960205759786,0.961357590148218,0.0273443437449129,0.907377375994779,1.01165183633054,0.476910420481052,0.0210246589624111,0.435078192044188,0.519231904116675,0.227883375266477,0.0201263043661807,0.189293033493136,0.26960205759786,0.961357590148218,0.0273443437449129,0.907377375994779,1.01165183633054,0.547722557505166,6.29612988419424e-17,0.547722557505166,0.547722557505166,0.3,8.40303393231185e-17,0.3,0.3,0.825853087703331,0.0229075755649549,0.780286815647368,0.865165966225672,0.476910420481052,0.0210246589624111,0.435078192044188,0.519231904116675,0.227883375266477,0.0201263043661807,0.189293033493136,0.26960205759786,0.961357590148218,0.0273443437449129,0.907377375994779,1.01165183633054,0.537324234813128,0.0236880099574871,0.490192804737238,0.585006897707619,0.289275649524181,0.0255483742999692,0.240288986197866,0.342233435122151,0.843656198398525,0.0312071780937466,0.781732719756948,0.900672980491606,-0.0721166247335231,-0.0721166247335231,-0.0107243504758188,0.135504502444887,0.135504502444887,0.0178031106951941,1
10,"sc010_q010_rb50_micro-moderate_r230_block_targeted","core",0.1,50,"moderate",0.2,0.8,1,0.111111111111111,0.311111111111111,1.11111111111111,250,50,0.3,"block_targeted",200,500,40,5,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.0999848950860594,0.00548465423200046,0.0902450183090784,0.1102176239056,50,0,50,50,0.2,0,0.2,0.2,0.8,0,0.8,0.8,1,0,1,1,0.111111111111111,0,0.111111111111111,0.111111111111111,0.311111111111111,0,0.311111111111111,0.311111111111111,1.11111111111111,0,1.11111111111111,1.11111111111111,250,0,250,250,50,0,50,50,0.3,0,0.3,0.3,1.11111111111111,0,1.11111111111111,1.11111111111111,1.11459336357718,0.0608893712591148,1.00810771315792,1.23121607997638,0.212227591083751,0,0.212227591083751,0.212227591083751,0.241572454774183,0.0225756848740664,0.203757001512382,0.287496260017936,NA,NA,NA,NA,0.787772408916249,0,0.787772408916249,0.787772408916249,0.708995168024624,0,0.708995168024624,0.708995168024624,0.682070503923417,0.0244240483302917,0.634209334638992,0.730050559221029,802,0,802,802,0.451835126929048,0.0229173129356006,0.408609219915811,0.493042153572382,0.204677559143017,0.0206436952360757,0.166962004712544,0.243090578704379,1.01954468013768,0.0288901479124304,0.969099134341386,1.07949515383173,0.476354981315367,0.0203427792009041,0.439273504406327,0.512812397991851,0.227325827746252,0.0193819494090708,0.192961241623995,0.262976645150278,0.962848140615619,0.025518247765884,0.921191355977433,1.015262381318,0.547722557505166,5.88949022232089e-17,0.547722557505166,0.547722557505166,0.3,7.9094152788218e-17,0.3,0.3,0.826827386828035,0.0225791784404245,0.782104739245659,0.866410833895901,0.476276042655691,0.0241569689091125,0.430711935959533,0.51971206258775,0.227419510158907,0.0229374391511953,0.185513338569494,0.270100643004866,0.963463146046403,0.0305638361444688,0.909968138945841,1.02674177546433,0.536609495598056,0.0272171130616114,0.485273442297393,0.585547881447918,0.288686818153192,0.0291168348771578,0.235491033285498,0.342866340516352,0.846025476196499,0.0347859740670635,0.784738428969005,0.917589818850058,-0.0953224408569833,-0.0725804898410926,-0.0113131818468079,0.192717293309643,0.136635759218368,0.0191980893684641,1
