"Quantity","Biomass","BTS","SWE 10 m q=0","SWE 10 m q=.015","SWE 100 m q=0","SWE 100 m q=.015","NO2--DE","NO2--EU split","NO2--EU full nugget","Meuse--Zn","Meuse--Cd","S1--SM","SMAP--CRNS"
"Response","Total biomass","BTS","SWE","SWE","SWE","SWE","annual mean\\NO$_2$","annual mean\\NO$_2$","annual mean\\NO$_2$","Log zinc","Log cadmium","Soil moisture","Soil moisture"
"Prediction support","30 m","30 m","10 m","10 m","100 m","100 m","2 km","100 m","100 m","100 m","100 m","1 km","9 km"
"Tier","1","2","2 sens.","2 sens.","2 sens.","2 sens.","3","2 sens.","2 sens.","3","3","Reported SRE","Partial 1"
"Metric","$R^2_{\mathrm{pred}}$","$R^2_{\mathrm{cor}}$","$R^2_{\mathrm{cor}}$","$R^2_{\mathrm{cor}}$","$R^2_{\mathrm{cor}}$","$R^2_{\mathrm{cor}}$","$R^2_{\mathrm{cor}}$","$R^2_{\mathrm{pred}}$","$R^2_{\mathrm{pred}}$","$R^2_{\mathrm{pred}}$","$R^2_{\mathrm{pred}}$","--","--"
"Raw R2","[0.438]","0.451","0.414","0.414","0.414","0.414","0.308","[0.553]","[0.553]","0.654","0.711","--","--"
"Raw RMSE/ubRMSE","[992.]","1.8","  126.","  126.","  126.","  126.","11.2","[9.5]","[9.5]","0.424","0.658","0.0880","0.0560"
"sigma_obs","[   1323.]","[2.05]","164.","164.","164.","164.","13.4","[14.3]","[14.3]","0.722","1.22","--","--"
"sigma2_obs","[1749447.]","[4.19]","26896.","26896.","26896.","26896.","   181.","[203.]","[203.]","0.521","1.50","--","--"
"Structural covariance model","--","Spherical","Exponential","Exponential","Exponential","Exponential","Spherical","Spherical","Spherical","Spherical","Spherical","--","--"
"Range_m","--","[180.]","[250.]","[250.]","[250.]","[250.]","   179324.","[   342798.]","[   342798.]","   897.","1149.","--","--"
"sigma2_mu","--","0.400","1600.","1200.","1600.","1200.","   109.","56.4","   113.","0.0507","0.548","--","--"
"sigma2_epsilon","[300724.]","[0.0500]","[0]","[400.]","[0]","[400.]","0","[56.4]","[0]","0","0","0","[0.000705]"
"sigma2_S","--","2.85","25296.","25296.","25296.","25296.","68.3","70.2","70.2","0.591","1.34","--","--"
"q_epsilon","0.172","0.0119","[0]","[0.0149]","[0]","[0.0149]","0","[0.278]","[0]","0","0","--","--"
"lambda_A_B","--","[0.806]","[0.885]","[0.885]","[0.522]","[0.522]","0.394","[0.445]","[0.445]","0.806","0.575","--","--"
"Delta_A_B","--","[0.763]","[3099.]","[2699.]","[   12866.]","[   12466.]","109.5","[56.4]","[   113.]","0.101","0.637","0.00281","--"
"Tier 1 R2","[0.528]","0.456","0.414","0.420","0.414","0.420","0.308","[0.765]","[0.553]","0.654","0.711","--","--"
"Tier 1 RMSE/raw","0.83","0.99","1.0","0.99","1.0","0.99","1.0","0.62","1.0","1.0","1.0","--","0.88"
"Tier 2/3 R2","--","0.560","0.468","0.468","0.794","0.794","0.780","n.i.","n.i.","0.812","n.i.","--","--"
"Tier 2/3 RMSE/raw","--","0.87","0.90","0.90","0.43","0.43","0.35","n.i.","n.i.","0.66","n.i.","0.80","--"
